product_id,category,brand,product_name,ingredient,product_rating
S210,스킨/토너,센텔리안24,마데카 데일리 리페어 토너 단독,"락토바실러스/병풀추출발효여과물, 병풀추출물, 글리세린, 정제수, 부틸렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세레스-26, 다이페닐다이메티콘, 쇠비름추출물, 트라이에틸헥사노인, 병풀잎추출물, 무화과추출물, 매실추출물, 사과추출물, 파파야열매추출물, 포도추출물, 돌콩추출물, 하이드로제네이티드레시틴, 올리브오일, 병풀오일, 폴리글리세릴-10미리스테이트, 카보머, 트로메타민, 베타-글루칸, 글리세릴폴리메타크릴레이트, 아데노신, 다이소듐이디티에이, 에톡시다이글라이콜, 옥틸도데칸올, 마데카식애씨드, 아시아티코사이드, 글라이코리피드, C12-13파레스-9, 병풀아미노산, 아시아틱애씨드, 하이드롤라이즈드병풀단백질, 세라마이드엔피, 프로테아제, 베툴린, 프로판다이올, 알지닌, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 테트라하이드로피페린, 플로레틴, 1,2-헥산다이올, 피토스핑고신, 에틸헥실글리세린",4.9
S211,스킨/토너,나인위시스,비건 하이드라 앰플 토너,"정제수, 미네랄워터, 글리세린, 1,2-헥산다이올, 부틸렌글라이콜, 아이소펜틸다이올, 베타인, 메틸프로판다이올, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 트로메타민, 다이소듐이디티에이, 풀루란, 프룩토올리고사카라이드, 소듐하이알루로네이트, 베타-글루칸, 말토덱스트린, 안젤리카뿌리추출물, 삼색제비꽃추출물, 매스틱검, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 글리세릴글루코사이드, 펜틸렌글라이콜, 흰목이버섯폴리사카라이드, 소듐아세틸레이티드하이알루로네이트",4.8
S212,스킨/토너,에스테덤,하이드라 로션 맥스,"정제수, 글리세린, 폴리솔베이트20, 펜틸렌글라이콜, 페녹시에탄올, 소듐시트레이트, 프룩토올리고사카라이드, 프로필렌글라이콜, 시트릭애씨드, 향료, 카르노신, 조류추출물, 다이소듐아데노신트라이포스페이트, 볼도잎추출물, 1,2-헥산다이올, 카프릴릴글라이콜, 잔탄검 (01 ES 019 V4)",4.8
S213,스킨/토너,에스티로더,에스티 로더 소프트 클린 인퓨전 하이드레이팅 에센스 로션,"정제수,글리세레스-26,비스-피이지-18메틸에터다이메틸실레인,폴리솔베이트20,수크로오스,알바수련꽃추출물,소듐하이알루로네이트,트레할로오스,다이포타슘글리시리제이트,카페인,글루타믹애씨드,아스파틱애씨드,세린,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,프롤린,트레오닌,발린,이소류신,히스티딘,글라이신,스쿠알란,시계꽃꽃추출물,에델바이스추출물,털부처꽃추출물,보리추출물,밀배아추출물,토코페롤,소듐피씨에이,리놀레익애씨드,글리세린,부틸렌글라이콜,우레아,소듐팔미토일프롤린,콜레스테롤,소듐레불리네이트,다이프로필렌글라이콜,시트릭애씨드,폴리비닐아세테이트,트리아세틴,비에이치티,소듐시트레이트,소듐벤조에이트,포타슘솔베이트,클로페네신,소르빅애씨드,다이소듐이디티에이,폴리쿼터늄-51,트로메타민,카보머,향료,페녹시에탄올,에틸헥실글리세린 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",4.8
S214,스킨/토너,라끄베르,옴므 리차지 시카 애프터쉐이브,"정제수 ,변성알코올 ,다이프로필렌글라이콜 ,글리세린 ,나이아신아마이드 ,1,2-헥산다이올 ,피이지-40하이드로제네이티드캐스터오일 ,메틸글루세스-20 ,판테놀(5000ppm) ,부틸렌글라이콜 ,마카뿌리추출물 ,아데노신 ,트로메타민 ,트라이소듐이디티에이 ,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 ,병풀잎추출물(100 ppm) ,소듐하이알루로네이트 ,잔탄검 ,솔비톨 ,다이포타슘글리시리제이트(10 ppm) ,귤껍질추출물 ,조류추출물 ,페녹시에탄올 ,포타슘솔베이트 ,향료 ,리날룰 ,리모넨 ,벤질벤조에이트 ,알파-아이소메틸아이오논",4.8
S215,스킨/토너,프리메라,오가니언스 베리어 리페어 카밍 에센스 토너,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 스쿠알란, 하이드로제네이티드폴리(C6-14올레핀), 락토바실러스발효용해물, 메도우폼씨오일, 해바라기씨오일, 하이드로제네이티드레시틴, 카프릴릴글라이콜, 카라기난, 호두추출물, 리모넨, 콜레스테롤, 에틸헥실글리세린, 다이소듐이디티에이, 당근추출물, 다이포타슘글리시리제이트, 알란토인, 마데카소사이드, 콩폴리펩타이드, 제라니올, 필리핀오렌지껍질오일, 광곽향오일, 베르가모트오일, 리날룰, 검정콩오일, 시트로넬올, 마트리카리아꽃오일, 센티드제라늄꽃오일, 베타-카로틴, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 팔마로사오일, 라벤더오일, 토코페롤, 오렌지껍질추출물, 피마자씨오일, 세라마이드엔피, 소듐하이알루로네이트, 로즈마리잎오일, 하이드로제네이티드포스파티딜콜린, 피토스핑고신, 하이드롤라이즈드하이알루로닉애씨드, 다마스크장미꽃오일, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 카놀라오일, 로즈마리잎추출물, 소듐아세틸레이티드하이알루로네이트",4.8
S216,스킨/토너,아떼,바이탈 씨 좀 토닝 캡슐 토너,"정제수,글리세린,부틸렌글라이콜,나이아신아마이드,펜틸렌글라이콜,메틸프로판다이올,아이리쉬모스추출물,사탕수수추출물,비타민나무오일,한련초추출물,오렌지껍질오일,필리핀오렌지껍질오일,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,라임전초오일,오렌지꽃오일,라벤더오일,로즈마리잎오일,클레리오일,홀리바질잎추출물,백미꽃추출물,울금뿌리추출물,참산호말추출물,드럼스틱씨오일,베르가모트오일,접시꽃추출물,소듐하이알루로네이트,아르니카 몬타나꽃추출물,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,레몬껍질오일,다이메티콘,1,2-헥산다이올,다이페닐실록시페닐트라이메티콘,다이메티콘/비닐다이메티콘크로스폴리머,판테놀,트로메타민,에틸헥실글리세린,아데노신,소듐파이테이트,사이아노코발아민,아스코빅애씨드,토코페롤,카프릴릭/카프릭트라이글리세라이드,프로판다이올,하이드로제네이티드레시틴,세라마이드엔피,벤질글라이콜,하이드롤라이즈드글라이코사미노글리칸,시트릭애씨드,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트크로스폴리머,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,카보머,잔탄검,소듐벤조에이트,리모넨,리날룰",4.9
S217,스킨/토너,조선미녀,붉은 팥 수분 워터 젤,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 메틸트라이메티콘, 팥추출물(4,500 ppm), 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴글루코사이드, C12-14알케스-12, 말토덱스트린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이메티콘/비닐다이메티콘크로스폴리머, 다이메티콘크로스폴리머, 에틸헥실글리세린, 베타인, 판테놀, 알란토인, 다이포타슘글리시리제이트, 폴리쿼터늄-51, 잔탄검, 다이소듐이디티에이, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 참마뿌리추출물, 글루코오스, 소듐시트레이트, 베타-글루칸, 하이드롤라이즈드옥수수전분, 시트릭애씨드, 수크로오스, 마그네슘아스코빌포스페이트, 카프릴릴글라이콜, 해바라기씨오일, 토코페롤, 사이아노코발아민, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 아세틸헥사펩타이드-8, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 포스포릭애씨드, 아스코빅애씨드, 에스에이치-올리고펩타이드-1, 에스에이치-올리고펩타이드-2, 에스에이치-폴리펩타이드-1",4.9
S219,스킨/토너,헤라,하이드로 리플렉팅 토너,"정제수, 부틸렌글라이콜, 변성알코올, 글리세린, 1,2-헥산다이올, 트레할로오스, 락토바실러스발효용해물, 글리세레스-26, 피피지-13-데실테트라데세스-24, 마트리카리아꽃수, 에틸헥실글리세린, 베타인, 카보머, 향료, 트로메타민, 다이소듐이디티에이, 프로판다이올, 마데카소사이드, 나이아신아마이드, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 병풀꽃/잎/줄기추출물, 잔탄검, 아스코빅애씨드, 토코페롤, 라이신, 알지닌, 히스티딘, 세라마이드엔피, 글루코오스, 자일로오스, 복사나무잎추출물, 만노오스, 소듐클로라이드, 레시틴, 소듐포스페이트, 카퍼트라이펩타이드-1, 푸코오스, 포타슘클로라이드, 포타슘포스페이트, 마그네슘클로라이드, 하이드롤라이즈드기장, 칼슘클로라이드",4.9
S220,스킨/토너,디마르3,시그니처 비트 로제 토너,"정제수, 글리세린, 부틸렌글라이콜, 글리세레스-26, 나이아신아마이드, 펜틸렌글라이콜, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 멕시칸주니퍼오일, 하이드롤라이즈드식물성단백질, 센티드제라늄꽃오일, 로즈마리잎오일, 베르가모트오일, 드럼스틱씨추출물, 블랙윌로우나무껍질추출물, 왕귤껍질오일, 에난티아 클로란타껍질추출물, 다이프로필렌글라이콜, 하이드록시에틸우레아, 1,2-헥산다이올, 베타인, 트레할로오스, 글루코오스, 카프릴릴글라이콜, 프룩토올리고사카라이드, 프룩토오스, 판테놀, 폴리글리세릴-10라우레이트, 프로판다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 에틸헥실글리세린, 트로메타민, 아데노신, 엑토인, 소듐파이테이트, 말토덱스트린, 바이오사카라이드검-4, 락토바이오닉애씨드, 토코페롤, 올레아놀릭애씨드, 시트로넬올, 카라멜",4.6
