node_type,original_name,node_id
product,E026,455
product,E027,456
product,E028,457
product,E030,458
product,E064,459
product,E032,460
product,E066,461
product,E099,462
product,E100,463
product,E101,464
product,E102,465
product,E103,466
product,E104,467
product,E105,468
product,E106,469
product,E107,470
product,E108,471
product,E109,472
product,E110,473
product,E111,474
product,E113,475
product,E114,476
product,E115,477
product,E116,478
product,E117,479
product,E118,480
product,E119,481
product,E120,482
product,E121,483
product,E122,484
product,E123,485
product,E124,486
product,E125,487
product,E126,488
product,E065,489
product,E127,490
product,E098,491
product,E097,492
product,E112,493
product,E096,494
product,E067,495
product,E068,496
product,E069,497
product,E070,498
product,E071,499
product,E072,500
product,E073,501
product,E074,502
product,E076,503
product,E077,504
product,E078,505
product,E079,506
product,E080,507
product,E081,508
product,E075,509
product,E083,510
product,E084,511
product,E085,512
product,E086,513
product,E087,514
product,E088,515
product,E089,516
product,E090,517
product,E095,518
product,E091,519
product,E092,520
product,E093,521
product,E082,522
product,E094,523
product,C524,524
product,C514,525
product,C511,526
product,C515,527
product,C510,528
product,C513,529
product,C517,530
product,C522,531
product,C52,532
product,C520,533
product,C521,534
product,C523,535
product,C51,536
product,C519,537
product,C509,538
product,C495,539
product,C507,540
product,C506,541
product,C504,542
product,C503,543
product,C502,544
product,C501,545
product,C50,546
product,C5,547
product,C499,548
product,C498,549
product,C497,550
product,C492,551
product,C493,552
product,C526,553
product,C508,554
product,C527,555
product,C565,556
product,C529,557
product,C491,558
product,C568,559
product,C566,560
product,C563,561
product,C560,562
product,C56,563
product,C559,564
product,C558,565
product,C557,566
product,C555,567
product,C552,568
product,C551,569
product,C550,570
product,C55,571
product,C549,572
product,C548,573
product,C547,574
product,C53,575
product,C532,576
product,C533,577
product,C534,578
product,C535,579
product,C538,580
product,C528,581
product,C539,582
product,C541,583
product,C542,584
product,C543,585
product,C544,586
product,C545,587
product,C546,588
product,C54,589
product,C490,590
product,C423,591
product,C489,592
product,C45,593
product,C449,594
product,C448,595
product,C446,596
product,C445,597
product,C443,598
product,C442,599
product,C441,600
product,C440,601
product,C44,602
product,C439,603
product,C437,604
product,C436,605
product,C435,606
product,C434,607
product,C433,608
product,C432,609
product,C416,610
product,C417,611
product,C420,612
product,C421,613
product,C422,614
product,C57,615
product,C450,616
product,C424,617
product,C426,618
product,C427,619
product,C428,620
product,C429,621
product,C43,622
product,C431,623
product,C425,624
product,C451,625
product,C452,626
product,C453,627
product,C472,628
product,C473,629
product,C474,630
product,C475,631
product,C476,632
product,C48,633
product,C471,634
product,C480,635
product,C482,636
product,C483,637
product,C484,638
product,C485,639
product,C486,640
product,C488,641
product,C481,642
product,C49,643
product,C469,644
product,C467,645
product,C454,646
product,C455,647
product,C456,648
product,C457,649
product,C458,650
product,C459,651
product,C468,652
product,C46,653
product,C461,654
product,C462,655
product,C463,656
product,C464,657
product,C465,658
product,C466,659
product,C460,660
product,C570,661
product,C662,662
product,C572,663
product,C724,664
product,C718,665
product,C717,666
product,C716,667
product,C715,668
product,C713,669
product,C712,670
product,C710,671
product,C71,672
product,C708,673
product,C707,674
product,C703,675
product,C702,676
product,C701,677
product,C7,678
product,C699,679
product,C697,680
product,C671,681
product,C672,682
product,C673,683
product,C674,684
product,C675,685
product,C677,686
product,C725,687
product,C679,688
product,C681,689
product,C685,690
product,C689,691
product,C69,692
product,C695,693
product,C696,694
product,C680,695
product,C670,696
product,C726,697
product,C73,698
product,C415,699
product,C99,700
product,C98,701
product,C97,702
product,C96,703
product,C95,704
product,C94,705
product,C93,706
product,C92,707
product,C91,708
product,C90,709
product,C9,710
product,C89,711
product,C88,712
product,C86,713
product,C85,714
product,C84,715
product,C730,716
product,C731,717
product,C741,718
product,C748,719
product,C75,720
product,C755,721
product,C729,722
product,C76,723
product,C78,724
product,C8,725
product,C80,726
product,C81,727
product,C82,728
product,C83,729
product,C77,730
product,C571,731
product,C67,732
product,C668,733
product,C614,734
product,C612,735
product,C611,736
product,C61,737
product,C609,738
product,C608,739
product,C607,740
product,C606,741
product,C605,742
product,C604,743
product,C603,744
product,C602,745
product,C601,746
product,C600,747
product,C60,748
product,C6,749
product,C599,750
product,C573,751
product,C576,752
product,C579,753
product,C580,754
product,C582,755
product,C584,756
product,C617,757
product,C586,758
product,C588,759
product,C589,760
product,C59,761
product,C592,762
product,C595,763
product,C596,764
product,C587,765
product,C669,766
product,C62,767
product,C621,768
product,C667,769
product,C666,770
product,C665,771
product,C664,772
product,C663,773
product,C661,774
product,C660,775
product,C66,776
product,C658,777
product,C657,778
product,C656,779
product,C654,780
product,C653,781
product,C652,782
product,C651,783
product,C650,784
product,C65,785
product,C622,786
product,C629,787
product,C631,788
product,C634,789
product,C635,790
product,C638,791
product,C620,792
product,C64,793
product,C642,794
product,C644,795
product,C645,796
product,C646,797
product,C648,798
product,C649,799
product,C640,800
product,C414,801
product,C219,802
product,C412,803
product,C218,804
product,C217,805
product,C216,806
product,C215,807
product,C214,808
product,C213,809
product,C212,810
product,C211,811
product,C210,812
product,C21,813
product,C209,814
product,C207,815
product,C206,816
product,C205,817
product,C204,818
product,C203,819
product,C202,820
product,C186,821
product,C187,822
product,C188,823
product,C189,824
product,C191,825
product,C193,826
product,C22,827
product,C195,828
product,C197,829
product,C199,830
product,C2,831
product,C20,832
product,C200,833
product,C201,834
product,C196,835
product,C184,836
product,C220,837
product,C222,838
product,C260,839
product,C26,840
product,C258,841
product,C257,842
product,C256,843
product,C255,844
product,C254,845
product,C253,846
product,C252,847
product,C251,848
product,C25,849
product,C249,850
product,C248,851
product,C246,852
product,C245,853
product,C243,854
product,C242,855
product,C223,856
product,C224,857
product,C225,858
product,C227,859
product,C228,860
product,C229,861
product,C221,862
product,C23,863
product,C232,864
product,C234,865
product,C237,866
product,C24,867
product,C240,868
product,C241,869
product,C230,870
product,C263,871
product,C182,872
product,C18,873
product,C137,874
product,C136,875
product,C135,876
product,C134,877
product,C133,878
product,C131,879
product,C13,880
product,C127,881
product,C126,882
product,C125,883
product,C124,884
product,C122,885
product,C121,886
product,C12,887
product,C119,888
product,C115,889
product,C113,890
product,C1,891
product,C10,892
product,C101,893
product,C102,894
product,C104,895
product,C105,896
product,C138,897
product,C106,898
product,C108,899
product,C109,900
product,C11,901
product,C110,902
product,C111,903
product,C112,904
product,C107,905
product,C180,906
product,C139,907
product,C140,908
product,C179,909
product,C176,910
product,C175,911
product,C174,912
product,C170,913
product,C17,914
product,C168,915
product,C167,916
product,C166,917
product,C165,918
product,C164,919
product,C163,920
product,C413,921
product,C160,922
product,C16,923
product,C157,924
product,C156,925
product,C141,926
product,C143,927
product,C144,928
product,C145,929
product,C146,930
product,C147,931
product,C14,932
product,C148,933
product,C15,934
product,C150,935
product,C151,936
product,C152,937
product,C153,938
product,C154,939
product,C149,940
product,C265,941
product,C162,942
product,C267,943
product,C378,944
product,C377,945
product,C375,946
product,C374,947
product,C373,948
product,C372,949
product,C371,950
product,C370,951
product,C37,952
product,C369,953
product,C368,954
product,C367,955
product,C366,956
product,C365,957
product,C364,958
product,C363,959
product,C362,960
product,C347,961
product,C348,962
product,C349,963
product,C35,964
product,C350,965
product,C351,966
product,C379,967
product,C352,968
product,C354,969
product,C355,970
product,C358,971
product,C359,972
product,C360,973
product,C361,974
product,C353,975
product,C346,976
product,C38,977
product,C381,978
product,C266,979
product,C411,980
product,C41,981
product,C409,982
product,C408,983
product,C407,984
product,C406,985
product,C405,986
product,C404,987
product,C403,988
product,C402,989
product,C401,990
product,C400,991
product,C40,992
product,C4,993
product,C399,994
product,C398,995
product,C382,996
product,C383,997
product,C384,998
product,C386,999
product,C388,1000
product,C389,1001
product,C380,1002
product,C39,1003
product,C391,1004
product,C392,1005
product,C393,1006
product,C394,1007
product,C396,1008
product,C397,1009
product,C390,1010
product,C344,1011
product,C376,1012
product,C342,1013
product,C288,1014
product,C289,1015
product,C290,1016
product,C291,1017
product,C293,1018
product,C294,1019
product,C287,1020
product,C295,1021
product,C297,1022
product,C298,1023
product,C299,1024
product,C3,1025
product,C30,1026
product,C300,1027
product,C296,1028
product,C302,1029
product,C286,1030
product,C282,1031
product,C268,1032
product,C269,1033
product,C343,1034
product,C270,1035
product,C271,1036
product,C272,1037
product,C285,1038
product,C273,1039
product,C275,1040
product,C276,1041
product,C278,1042
product,C279,1043
product,C28,1044
product,C281,1045
product,C274,1046
product,C303,1047
product,C27,1048
product,C341,1049
product,C304,1050
product,C34,1051
product,C337,1052
product,C336,1053
product,C335,1054
product,C333,1055
product,C332,1056
product,C331,1057
product,C330,1058
product,C33,1059
product,C329,1060
product,C327,1061
product,C326,1062
product,C325,1063
product,C324,1064
product,C340,1065
product,C320,1066
product,C321,1067
product,C305,1068
product,C307,1069
product,C31,1070
product,C310,1071
product,C312,1072
product,C311,1073
product,C314,1074
product,C315,1075
product,C316,1076
product,C317,1077
product,C318,1078
product,C32,1079
product,C313,1080
product,L130,1081
product,L126,1082
product,L128,1083
product,L129,1084
product,L131,1085
product,L148,1086
product,L142,1087
product,L143,1088
product,L144,1089
product,L146,1090
product,L147,1091
product,L149,1092
product,L141,1093
product,L124,1094
product,L111,1095
product,L121,1096
product,L94,1097
product,L151,1098
product,L95,1099
product,L96,1100
product,L97,1101
product,L98,1102
product,L123,1103
product,L100,1104
product,L104,1105
product,L105,1106
product,L112,1107
product,L114,1108
product,L115,1109
product,L119,1110
product,L101,1111
product,L153,1112
product,L256,1113
product,L158,1114
product,L93,1115
product,L250,1116
product,L248,1117
product,L245,1118
product,L244,1119
product,L242,1120
product,L240,1121
product,L238,1122
product,L236,1123
product,L235,1124
product,L230,1125
product,L229,1126
product,L228,1127
product,L227,1128
product,L156,1129
product,L226,1130
product,L209,1131
product,L203,1132
product,L200,1133
product,L198,1134
product,L194,1135
product,L190,1136
product,L185,1137
product,L183,1138
product,L176,1139
product,L168,1140
product,L166,1141
product,L161,1142
product,L160,1143
product,L159,1144
product,L223,1145
product,L92,1146
product,L18,1147
product,L88,1148
product,L38,1149
product,L36,1150
product,L35,1151
product,L34,1152
product,L29,1153
product,L28,1154
product,L27,1155
product,L26,1156
product,L24,1157
product,L23,1158
product,L22,1159
product,L21,1160
product,L20,1161
product,L19,1162
product,L39,1163
product,L17,1164
product,L91,1165
product,L14,1166
product,L13,1167
product,L12,1168
product,L11,1169
product,L10,1170
product,L9,1171
product,L8,1172
product,L6,1173
product,L5,1174
product,L4,1175
product,L3,1176
product,L2,1177
product,L1,1178
product,L16,1179
product,L40,1180
product,L15,1181
product,L42,1182
product,L41,1183
product,L87,1184
product,L86,1185
product,L85,1186
product,L81,1187
product,L79,1188
product,L78,1189
product,L73,1190
product,L71,1191
product,L68,1192
product,L67,1193
product,L65,1194
product,L64,1195
product,L63,1196
product,L62,1197
product,L77,1198
product,L60,1199
product,L43,1200
product,L61,1201
product,L44,1202
product,L45,1203
product,L48,1204
product,L50,1205
product,L51,1206
product,L47,1207
product,L53,1208
product,L54,1209
product,L55,1210
product,L56,1211
product,L58,1212
product,L59,1213
product,M40,1214
product,M29,1215
product,M30,1216
product,M36,1217
product,M37,1218
product,M38,1219
product,M28,1220
product,M42,1221
product,M52,1222
product,M45,1223
product,M46,1224
product,M49,1225
product,M51,1226
product,M53,1227
product,M55,1228
product,M27,1229
product,M43,1230
product,M25,1231
product,M3,1232
product,M23,1233
product,M57,1234
product,M1,1235
product,M2,1236
product,M4,1237
product,M5,1238
product,M8,1239
product,M9,1240
product,M24,1241
product,M10,1242
product,M12,1243
product,M13,1244
product,M15,1245
product,M16,1246
product,M17,1247
product,M18,1248
product,M21,1249
product,M11,1250
product,M61,1251
category,스킨/토너,0
category,에센스/세럼/앰플,1
category,크림,2
category,로션,3
category,미스트/오일,4
brand,아누아,0
brand,피지오겔,1
brand,달팡,2
brand,닥터지,3
brand,비오템,4
brand,닥터하스킨,5
brand,트러블레스,6
brand,프랭클리,7
brand,헤라,8
brand,크리니크,9
brand,센텔리안24,10
brand,나인위시스,11
brand,에스테덤,12
brand,에스티로더,13
brand,라끄베르,14
brand,프리메라,15
brand,아떼,16
brand,조선미녀,17
brand,디마르3,18
brand,후시다인,19
brand,아이소이,20
brand,닥터멜락신,21
brand,비레디,22
brand,더랩바이블랑두,23
brand,헤브블루,24
brand,플라스킨,25
brand,리얼베리어,26
brand,더후,27
brand,미구하라,28
brand,클럽맨피노드,29
brand,셀린저,30
brand,시카고,31
brand,썸바이미,32
brand,엠브리올리스,33
brand,싸이닉,34
brand,디오디너리,35
brand,닥터자르트,36
brand,잇츠스킨,37
brand,폴라초이스,38
brand,플리프,39
brand,그레이멜린,40
brand,유세린,41
brand,라네즈,42
brand,라빠레뜨 뷰티,43
brand,비욘드,44
brand,더마펌,45
brand,아크네스,46
brand,메디큐브,47
brand,스콧해미쉬,48
brand,아이오페,49
brand,LBB,50
brand,스킨앤랩,51
brand,플로디카,52
brand,VT,53
brand,피캄,54
brand,넘버즈인,55
brand,아벤느,56
brand,바이오더마,57
brand,마녀공장,58
brand,아크웰,59
brand,라로슈포제,60
brand,원씽,61
brand,헤이네이처,62
brand,마몽드,63
brand,글로오아시스,64
brand,코스톡,65
brand,이니스프리,66
brand,정샘물,67
brand,디퍼,68
brand,차앤박,69
brand,헉슬리,70
brand,아이디얼포맨,71
brand,우노,72
brand,티엘스,73
brand,피토메르,74
brand,달바,75
brand,믹순,76
brand,셀리맥스,77
brand,더마라인,78
brand,반코르,79
brand,바이오던스,80
brand,키엘,81
brand,케어놀로지,82
brand,포레스트,83
brand,파파레서피,84
brand,브링그린,85
brand,눅스,86
brand,에르쯔틴,87
brand,유리아쥬,88
brand,웰라쥬,89
brand,스킨푸드,90
brand,리엔케이,91
brand,브이앤에이뷰티,92
brand,브리올옴므,93
brand,어나더페이스,94
brand,제로이드,95
brand,설화수,96
brand,에스트라,97
brand,코스알엑스,98
brand,한율,99
brand,랩시리즈,100
brand,라운드랩,101
brand,메이크프렘,102
brand,이즈앤트리,103
brand,에뛰드,104
brand,식물나라,105
brand,코스노리,106
brand,파티온,107
brand,토리든,108
brand,엠도씨,109
brand,에스네이처,110
brand,구달,111
brand,아비브,112
brand,비플레인,113
brand,인터미션,114
brand,풀리,115
brand,바이오힐보,116
brand,큐어,117
brand,아임프롬,118
brand,스킨1004,119
brand,에센허브,120
brand,테라로직,121
brand,허블룸,122
brand,몰바니,123
brand,하루하루원더,124
brand,로벡틴,125
brand,하다라보,126
brand,AHC,127
brand,셀퓨전씨,128
brand,스튜디오17,129
brand,오브제,130
brand,닥터디퍼런트,131
brand,리쥬란,132
brand,더바디샵,133
brand,지피덤,134
brand,케어존,135
brand,레이지소사이어티,136
brand,성분에디터,137
brand,빌리프,138
brand,바버501,139
brand,딕셔니스트,140
brand,주미소,141
brand,로우퀘스트,142
brand,닥터오라클,143
brand,메디필,144
brand,에딧비,145
brand,클리어디어,146
brand,더페이스샵,147
brand,루트리,148
brand,더하르나이,149
brand,숨37,150
brand,퍼셀,151
brand,앰플엔,152
brand,파넬,153
brand,마일드랩,154
brand,NDP,155
brand,미샤,156
brand,시드물,157
brand,라타플랑,158
brand,CKD,159
brand,아이디플라코스메틱,160
brand,비긴스 바이 정샘물,161
brand,메디힐,162
brand,아이뽀,163
brand,리덴스,164
brand,밀리밀리,165
brand,셀라딕스,166
brand,아리얼,167
brand,디어클레어스,168
brand,쏘내추럴,169
brand,더마팩토리,170
brand,션리,171
brand,이지듀,172
brand,뉴라덤,173
brand,디마프,174
brand,아렌시아,175
brand,듀이트리,176
brand,톰,177
brand,코이,178
brand,아비노,179
brand,라돌프,180
brand,셀올로지,181
brand,SVR,182
brand,닥터엘시아,183
brand,배드스킨,184
brand,휴캄,185
brand,시모먼트,186
brand,세타필,187
brand,에필로우,188
brand,비원츠,189
brand,피부미,190
brand,일소,191
brand,체이싱래빗,192
brand,클라뷰,193
brand,어퓨,194
brand,오휘,195
brand,허스텔러,196
brand,닥터하우쉬카,197
brand,다슈,198
brand,맥,199
brand,SNP,200
brand,오가나셀,201
brand,누텍스처,202
brand,불독,203
brand,톡스앤필,204
brand,라로제,205
brand,슬로소피,206
brand,메디큐브 에이지알,207
brand,도미나스,208
brand,벨라수,209
brand,메디올가,210
brand,파이코어,211
brand,가히,212
brand,OOTD,213
brand,청미정,214
brand,더마픽스,215
brand,블랙몬스터,216
brand,씨널스,217
brand,비건이펙트,218
brand,퓨어그램,219
brand,랑콤,220
brand,퓨리토 서울,221
brand,라곰,222
brand,비판톨,223
brand,더파이에센셜,224
brand,베리홉,225
brand,블리블리,226
brand,러븀,227
brand,이아소,228
brand,라씨엘르,229
brand,생블랑쉬,230
brand,수페,231
brand,프라나롬,232
brand,스와니코코,233
brand,오드로이,234
brand,오아조,235
brand,프리메이,236
brand,제나벨,237
brand,그라운드플랜,238
brand,엑시스와이,239
brand,마미케어,240
brand,셀인샷,241
brand,메디테라피,242
brand,샤이샤이샤이,243
brand,더마토리,244
brand,더말로지카,245
brand,리브엠,246
brand,바비브라운,247
brand,땡큐파머,248
brand,키노닉스,249
brand,마티나겝하르트,250
brand,다룸,251
brand,애즈이즈투비,252
brand,울트라브이,253
brand,어바웃미,254
brand,소본,255
brand,보나쥬르,256
brand,록시땅,257
brand,밀크터치,258
brand,연작,259
brand,토니모리,260
brand,닥터트웬티프로젝트,261
brand,미프,262
brand,휘게,263
brand,원진이펙트,264
brand,무슈제이,265
brand,비알티씨,266
brand,포맨트,267
brand,우르오스,268
brand,포엘리에,269
brand,온그리디언츠,270
brand,로레알맨,271
brand,퓨어덤,272
brand,비얼라우,273
brand,그라운드랩,274
brand,차앤박옴므,275
brand,헤슬,276
brand,트릴로지,277
brand,쌍빠,278
brand,채운,279
brand,유이크,280
brand,에비앙,281
brand,런드리유,282
ingredient,에틸헥실글리세린,0
ingredient,소듐하이알루로네이트,1
ingredient,판테놀,2
ingredient,프로판다이올,3
ingredient,나이아신아마이드,4
ingredient,토코페롤,5
ingredient,아데노신,6
ingredient,다이소듐이디티에이,7
ingredient,하이드로제네이티드레시틴,8
ingredient,트로메타민,9
ingredient,잔탄검,10
ingredient,카보머,11
ingredient,카프릴릭/카프릭트라이글리세라이드,12
ingredient,펜틸렌글라이콜,13
ingredient,다이프로필렌글라이콜,14
ingredient,알란토인,15
ingredient,세라마이드엔피,16
ingredient,베타인,17
ingredient,하이드롤라이즈드하이알루로닉애씨드,18
ingredient,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,19
ingredient,카프릴릴글라이콜,20
ingredient,세테아릴알코올,21
ingredient,향료,22
ingredient,알지닌,23
ingredient,스쿠알란,24
ingredient,글리세릴스테아레이트,25
ingredient,병풀추출물,26
ingredient,하이알루로닉애씨드,27
ingredient,시트릭애씨드,28
ingredient,베타-글루칸,29
ingredient,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,30
ingredient,메틸프로판다이올,31
ingredient,하이드록시아세토페논,32
ingredient,스테아릭애씨드,33
ingredient,소듐하이알루로네이트크로스폴리머,34
ingredient,솔비탄아이소스테아레이트,35
ingredient,솔비탄올리베이트,36
ingredient,리모넨,37
ingredient,마데카소사이드,38
ingredient,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,39
ingredient,콜레스테롤,40
ingredient,다이포타슘글리시리제이트,41
ingredient,리날룰,42
ingredient,다이메티콘,43
ingredient,세테아릴올리베이트,44
ingredient,소듐아세틸레이티드하이알루로네이트,45
ingredient,폴리글리세릴-10라우레이트,46
ingredient,글루코오스,47
ingredient,덱스트린,48
ingredient,시어버터,49
ingredient,해바라기씨오일,50
ingredient,소듐시트레이트,51
ingredient,트레할로오스,52
ingredient,아시아티코사이드,53
ingredient,팔미틱애씨드,54
ingredient,소듐파이테이트,55
ingredient,하이드로제네이티드폴리데센,56
ingredient,비닐다이메티콘,57
ingredient,베헤닐알코올,58
ingredient,하이드롤라이즈드소듐하이알루로네이트,59
ingredient,하이드록시프로필트라이모늄하이알루로네이트,60
ingredient,마데카식애씨드,61
ingredient,아시아틱애씨드,62
ingredient,페녹시에탄올,63
ingredient,소듐폴리아크릴레이트,64
ingredient,인도멀구슬나무잎추출물,65
ingredient,녹차추출물,66
ingredient,폴리글리세릴-3메틸글루코오스다이스테아레이트,67
ingredient,시트로넬올,68
ingredient,프룩토올리고사카라이드,69
ingredient,세틸에틸헥사노에이트,70
ingredient,토코페릴아세테이트,71
ingredient,인도멀구슬나무꽃추출물,72
ingredient,소듐스테아로일글루타메이트,73
ingredient,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,74
ingredient,자일리톨,75
ingredient,글리세릴카프릴레이트,76
ingredient,글리세레스-26,77
ingredient,제라니올,78
ingredient,아세틸헥사펩타이드-8,79
ingredient,락토바실러스발효물,80
ingredient,실리카,81
ingredient,레시틴,82
ingredient,폴리메틸실세스퀴옥세인,83
ingredient,카퍼트라이펩타이드-1,84
ingredient,소듐하이드록사이드,85
ingredient,글루코노락톤,86
