ingredient,count
팔미토일테트라펩타이드-7,1
흑효모발효물,1
다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,1
옥탄다이올,1
다이펩타이드-15,1
연어알추출물,1
산양삼추출물,1
올리고펩타이드-2,1
콜라겐수,1
프로테아제,1
수크로오스,1
황해쑥잎수,1
소듐메타포스페이트,1
미네랄솔트,1
이눌린라우릴카바메이트,1
포도즙추출물,1
하이드롤라이즈드옥수수전분,1
살리실릭애씨드,1
황해쑥잎추출물,1
병풀꽃/잎/줄기추출물,1
빙하수,1
바이오사카라이드검-4,1
알진,1
양까막까치밥나무열매추출물,1
바오밥나무씨오일,1
폴리글루쿠로닉애씨드,1
아이소프로필미리스테이트,1
페닐트라이메티콘,1
세테아릴글루코사이드,1
트라이에틸시트레이트,1
솔비탄스테아레이트,1
옥수수커넬추출물,1
알칸나뿌리추출물,1
만주자작나무껍질/잎추출물,1
피마자씨오일,1
레몬그라스잎오일,1
스타아니스열매/씨오일,1
다이페닐실록시페닐트라이메티콘,1
엑토인,1
프로필렌글라이콜다이벤조에이트,1
알파-아이소메틸아이오논,1
꿀추출물,1
올리브나무잎추출물,1
레몬그라스추출물,1
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,1
당호박추출물,1
커먼자스민추출물,1
애플민트잎추출물,1
메틸글루세스-20,1
살비아추출물,1
헥사펩타이드-11,1
티트리추출물,1
세룰라타벚나무꽃추출물,1
오레가노추출물,1
타임꽃/잎/줄기추출물,1
피토스핑고신,1
소듐하이알루로네이트크로스폴리머 포타슘하이알루로네이트,1
하이드로제네이티드폴리데센,1
유채씨오일,1
버지니아풍년화잎추출물,1
팔미토일트라이펩타이드-8,1
달맞이꽃꽃추출물,1
마카다미아씨오일,1
폴리프로필실세스퀴옥세인,1
당호박씨추출물,1
두충나무껍질추출물,1
아세틸올리고펩타이드-99아마이드,1
겔리듐 카르틸라기네움추출물,1
사카라이드아이소머레이트,1
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,1
에델바이스캘러스배양추출물,1
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,1
개똥쑥추출물,1
쌀추출물,1
효모발효물,1
장미꽃오일,1
석시닉애씨드,1
글리세릴글루코사이드,1
히비스커스꽃추출물,1
메틸다이아이소프로필프로피온아마이드,1
이눌린,1
도둑놈의지팡이뿌리추출물,1
과라나씨추출물,1
꼬리풀추출물,1
카우슬립추출물,1
말로우추출물,1
트루로즈오브예리코추출물,1
성모초추출물,1
초피나무열매추출물,1
참당귀뿌리추출물,1
캐모마일꽃오일,1
왕귤껍질오일,1
로즈마리잎오일,1
라벤더오일,1
카라기난추출물,1
프로판디올,1
락토코쿠스발효용해물,1
수용성프로테오글리칸,1
편백잎추출물,1
아세틸헥사펩타이드-1,1
제충국꽃추출물,1
레몬유칼립투스오일,1
폴리글리세릴-2올리에이트,1
디메치콘,1
베헤닉애씨드,1
디소듐이디티에이-카퍼,1
사포닌,1
소듐서팩틴,1
알파-글루칸올리고사카라이드,1
하이드록시프로필비스라우라마이드엠이에이,1
세틸에칠헥사노에이트,1
포타슘소르베이트,1
옥틸도데세스-16,1
망가니즈피씨에이,1
피이지-40하이드로제네이티드캐스터오일,1
징크피씨에이,1
마그네슘피씨에이,1
마데카식애씨드,1
아시아틱애씨드,1
디포타슘글리시리제이트,1
덱스트란,1
동백나무잎추출물,1
아티초크잎추출물,1
에칠멘탄카복사마이드,1
다이-C12-13알킬말레이트,1
부틸페닐메틸프로피오날,1
소듐하이드록사이드,1
연꽃추출물,1
레이디스맨틀추출물,1
당아욱추출물,1
황산앵초추출물,1
스피드웰추출물,1
멘틸피씨에이,1
비에이치티,1
페퍼민트오일,1
시계꽃추출물,1
세이지잎추출물,1
박하잎추출물,1
말로우잎추출물,1
꽃박하잎추출물,1
선백리향잎추출물,1
서양민들레뿌리줄기/뿌리추출물,1
레티놀,1
토코트라이엔올,1
명일엽잎/줄기추출물,1
코코넛야자오일,1
수크로오스스테아레이트,1
효모폴리펩타이드,1
티아꽃추출물,1
아모다이메티콘,1
살리실로일피토스핑고신,1
당근씨오일,1
카놀라오일,1
잇꽃꽃추출물,1
덱스트린,1
하이드록시메톡시페닐데칸온,1
리놀레닉애씨드,1
리놀레익애씨드,1
비니거,1
하이드록시에틸피페라진에탄설포닉애씨드,1
아이소노닐아이소노나노에이트,1
다이카프릴릴카보네이트,1
C13-15알케인,1
변성알코올,1
들깨잎추출물,1
카렌둘라꽃추출물,1
세라마이드엔지,1
갈바눔수지오일,1
로얄젤리추출물,1
비타민나무열매추출물,1
사이클로펜타실록세인,1
아이소헥사데칸,1
비타민나무수,1
로즈힙씨오일,1
징크설페이트,1
비터오렌지꽃오일,1
"캐모마일꽃오일','토코페롤'",1
마조람잎추출물,1
불가리스쑥오일,1
아틀라스시다나무껍질오일,1
알파-비사보롤,1
올리브오일,1
토마토추출물,1
프룩토오스,1
잇꽃씨오일,1
클로렐라 불가리스추출물,1
당아욱잎추출물,1
콘민트잎추출물,1
로즈마리추출물,1
트라이소듐에틸렌다이아민다이석시네이트,1
라벤더꽃/잎/줄기추출물,1
줄맨드라미씨추출물,1
느릅나무뿌리추출물,1
사이클로펜타실록산,1
메칠프로판디올,1
이소헥사데칸,1
황차카테킨,1
말라카이트추출물,1
황차추출물,1
서양산딸기잎추출물,1
효모/율무씨발효여과물,1
자주개자리씨추출물,1
락토바실러스/쌀발효물,1
락토바실러스/홍삼발효여과물,1
이노시톨,1
폴리에스터-5,1
라피노오스,1
해바라기씨오일불검화물,1
팔미틱애씨드,1
락토바실러스/배즙발효여과물,1
한련초잎추출물,1
자두추출물,1
타임잎추출물,1
시금치추출물,1
검은깨추출물,1
형개추출물,1
얼룩조릿대잎추출물,1
라즈베리추출물,1
지황뿌리추출물,1
사과추출물,1
복숭아추출물,1
미역추출물,1
살구추출물,1
도라지뿌리추출물,1
왕질경이씨추출물,1
팥추출물,1
소엽잎추출물,1
기장추출물,1
바질잎추출물,1
연꽃뿌리추출물,1
하늘타리뿌리추출물,1
생강추출물,1
산뽕나무잎추출물,1
프로콜라겐,1
다시마추출물,1
쿠티박테리움 아비둠발효추출여과물,1
아이리쉬모스추출물,1
