ingredient,product_count,cat_미스트/오일,ratio_미스트/오일
"2,3-부탄다이올",2,2,1.0
소듐포스페이트,2,2,1.0
글리세릴스테아레이트,2,2,1.0
참산호말추출물,2,2,1.0
홀리바질잎추출물,2,2,1.0
해수,2,2,1.0
가지열매추출물,2,2,1.0
소듐스테아로일글루타메이트,2,2,1.0
소듐팔미토일프롤린,2,2,1.0
레몬밤추출물,2,2,1.0
아이비고드열매추출물,2,2,1.0
인도멀구슬나무꽃추출물,2,2,1.0
소듐파이테이트,2,2,1.0
솔비탄세스퀴올리에이트,2,2,1.0
트라이라우레스-4포스페이트,2,2,1.0
피이지-60하이드로제네이티드캐스터오일,2,2,1.0
서양민들레잎추출물,2,2,1.0
호박가루,2,2,1.0
스테아릭애씨드,2,2,1.0
아르간커넬오일,2,2,1.0
센티드제라늄추출물,2,2,1.0
월계수잎추출물,2,2,1.0
인카르나타시계꽃전초추출물,2,2,1.0
자주천인국추출물,2,2,1.0
포트마리골드꽃추출물,2,2,1.0
한련초추출물,2,2,1.0
회향잎추출물,2,2,1.0
녹차수,2,2,1.0
라벤더꽃추출물,2,2,1.0
무화과추출물,2,2,1.0
호호바씨오일,2,2,1.0
카프릴릴/카프릴글루코사이드,2,2,1.0
온천수,2,2,1.0
카프릴릭/카프릭트리글리세라이드,2,2,1.0
디프로필렌글라이콜,2,2,1.0
하이드로제네이티드스타치하이드롤리세이트,2,2,1.0
하이드록시시트로넬알,2,2,1.0
바이오사카라이드검-1,2,2,1.0
락토바실러스/콩발효추출물,2,2,1.0
효모/감자추출물발효여과물,2,2,1.0
참마뿌리추출물,2,2,1.0
글라이코실트레할로오스,2,2,1.0
어성초추출물,2,2,1.0
멕시칸치아씨추출물,2,2,1.0
디소듐이디티에이,2,2,1.0
아스코빅애씨드,2,2,1.0
마시멜로잎추출물,2,2,1.0
폴리글리세릴-3다이아이소스테아레이트,2,2,1.0
바오밥나무씨추출물,2,2,1.0
다마스크장미꽃추출물,2,2,1.0
진주추출물,2,2,1.0
보리지추출물,2,2,1.0
살비아잎추출물,2,2,1.0
보리지씨오일,2,2,1.0
바질꽃/잎/줄기추출물,2,2,1.0
참당귀뿌리추출물,1,1,1.0
올리고펩타이드-1,1,1,1.0
양까막까치밥나무열매추출물,1,1,1.0
다이페닐다이메티콘,1,1,1.0
다이메티콘,1,1,1.0
글루코놀락톤,1,1,1.0
락토바이오닉애씨드,1,1,1.0
에스에이치-올리고펩타이드-1,1,1,1.0
판토락톤,1,1,1.0
아스코빌팔미테이트,1,1,1.0
알파-글루칸올리고사카라이드,1,1,1.0
하이드록시페닐프로파미도벤조익애씨드,1,1,1.0
백미꽃추출물,1,1,1.0
올리고펩타이드-2,1,1,1.0
돌콩추출물,1,1,1.0
아르니카 몬타나꽃추출물,1,1,1.0
알로에베라꽃추출물,1,1,1.0
접시꽃추출물,1,1,1.0
유럽밤나무씨추출물,1,1,1.0
사과씨오일,1,1,1.0
흑효모발효물,1,1,1.0
펜타펩타이드-3,1,1,1.0
다이펩타이드-15,1,1,1.0
팔미토일헥사펩타이드-12,1,1,1.0
옥탄다이올,1,1,1.0
다이포타슘포스페이트,1,1,1.0
아세틸글루타민,1,1,1.0
아가,1,1,1.0
세테아릴글루코사이드,1,1,1.0
레몬그라스잎오일,1,1,1.0
연어알추출물,1,1,1.0
하이드롤라이즈드엘라스틴,1,1,1.0
황해쑥잎추출물,1,1,1.0
천연빙하수,1,1,1.0
살리실릭애씨드,1,1,1.0
바오밥나무씨오일,1,1,1.0
스노우로투스추출물,1,1,1.0
폴리글루쿠로나익애씨드,1,1,1.0
콜라겐수,1,1,1.0
수크로오스,1,1,1.0
아이소프로필미리스테이트,1,1,1.0
이눌린라우릴카바메이트,1,1,1.0
덱스트란,1,1,1.0
트라이에틸시트레이트,1,1,1.0
하이드롤라이즈드옥수수전분,1,1,1.0
시트랄 *히아루론산 1%솔루션 10%함유,1,1,1.0
산양삼추출물,1,1,1.0
소듐메타포스페이트,1,1,1.0
바이오사카라이드검-4,1,1,1.0
황해쑥잎수,1,1,1.0
페닐트라이메티콘,1,1,1.0
미네랄솔트,1,1,1.0
옥수수커넬추출물,1,1,1.0
알칸나뿌리추출물,1,1,1.0
솔비탄스테아레이트,1,1,1.0
만주자작나무껍질/잎추출물,1,1,1.0
알진,1,1,1.0
피마자씨오일,1,1,1.0
병풀꽃/잎/줄기추출물,1,1,1.0
스타아니스열매/씨오일,1,1,1.0
포스페이트버퍼드셀라인,1,1,1.0
다이페닐실록시페닐트라이메티콘,1,1,1.0
엑토인,1,1,1.0
프로필렌글라이콜다이벤조에이트,1,1,1.0
세룰라타벚나무꽃추출물,1,1,1.0
유채씨오일,1,1,1.0
꿀추출물,1,1,1.0
애플민트잎추출물,1,1,1.0
당호박추출물,1,1,1.0
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,1,1,1.0
살비아추출물,1,1,1.0
티트리추출물,1,1,1.0
메틸글루세스-20,1,1,1.0
오레가노추출물,1,1,1.0
과라나씨추출물,1,1,1.0
헥사펩타이드-11,1,1,1.0
타임꽃/잎/줄기추출물,1,1,1.0
소듐하이알루로네이트크로스폴리머 포타슘하이알루로네이트,1,1,1.0
하이드로제네이티드폴리데센,1,1,1.0
이눌린,1,1,1.0
피토스핑고신,1,1,1.0
사포닌,1,1,1.0
메틸다이아이소프로필프로피온아마이드,1,1,1.0
알파-아이소메틸아이오논,1,1,1.0
버지니아풍년화잎추출물,1,1,1.0
달맞이꽃꽃추출물,1,1,1.0
커먼자스민추출물,1,1,1.0
사카라이드아이소머레이트,1,1,1.0
마카다미아씨오일,1,1,1.0
당호박씨추출물,1,1,1.0
두충나무껍질추출물,1,1,1.0
폴리프로필실세스퀴옥세인,1,1,1.0
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,1,1,1.0
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,1,1,1.0
아세틸올리고펩타이드-99아마이드,1,1,1.0
개똥쑥추출물,1,1,1.0
쌀추출물,1,1,1.0
효모발효물,1,1,1.0
장미꽃오일,1,1,1.0
히비스커스꽃추출물,1,1,1.0
올리브나무잎추출물,1,1,1.0
석시닉애씨드,1,1,1.0
글리세릴글루코사이드,1,1,1.0
레몬그라스추출물,1,1,1.0
도둑놈의지팡이뿌리추출물,1,1,1.0
베헤닉애씨드,1,1,1.0
팔미토일테트라펩타이드-7,1,1,1.0
왕귤껍질오일,1,1,1.0
꼬리풀추출물,1,1,1.0
카우슬립추출물,1,1,1.0
말로우추출물,1,1,1.0
트루로즈오브예리코추출물,1,1,1.0
성모초추출물,1,1,1.0
초피나무열매추출물,1,1,1.0
캐모마일꽃오일,1,1,1.0
팔미토일트라이펩타이드-8,1,1,1.0
로즈마리잎오일,1,1,1.0
디소듐디티 에이,1,1,1.0
라벤더오일,1,1,1.0
