product_id,ingredient_id
0,77
0,17
0,13
0,51
0,0
0,41
0,28
0,19
0,9
0,2
0,55
0,15
0,1
0,59
0,60
0,80
0,45
0,18
0,27
0,34
1,14
1,12
1,24
1,23
1,17
1,19
1,43
1,1
1,9
2,77
2,2
2,80
2,1
2,52
2,71
2,20
2,28
2,85
2,22
2,7
2,63
3,13
3,3
3,77
3,2
3,9
3,80
3,7
3,26
3,62
3,53
3,61
3,38
4,51
4,23
4,28
4,80
4,5
4,63
4,22
4,42
4,78
4,68
5,12
5,8
5,20
5,16
5,15
5,18
5,1
5,45
6,14
6,31
6,2
6,86
6,1
6,27
6,18
6,60
6,59
6,34
6,45
6,15
6,29
6,32
6,20
6,7
6,51
6,41
6,13
6,5
6,0
7,31
7,17
7,15
7,60
7,18
7,45
7,27
7,62
7,53
7,34
7,61
7,38
7,19
7,9
7,7
8,4
8,2
8,22
8,11
8,0
8,9
8,6
8,7
8,37
8,52
8,42
8,3
8,5
8,1
8,18
8,34
8,27
8,45
9,13
9,80
9,52
9,24
9,1
9,19
9,20
9,33
9,25
9,28
9,85
9,7
9,63
10,26
10,4
10,13
10,77
10,8
10,11
10,9
10,29
10,6
10,7
10,61
10,53
10,62
10,16
10,3
10,23
10,30
10,0
11,17
11,31
11,2
11,19
11,0
11,9
11,7
11,69
11,1
11,29
11,59
11,34
11,60
11,18
11,27
11,13
11,45
12,13
12,63
12,51
12,69
12,28
12,22
12,20
12,10
13,77
13,1
13,52
13,41
13,23
13,24
13,5
13,40
13,14
13,28
13,51
13,7
13,9
13,11
13,22
13,63
13,0
14,14
14,4
14,6
14,9
14,19
14,1
14,10
14,63
14,22
14,42
14,37
15,24
15,50
15,8
15,20
15,37
15,40
15,0
15,7
15,41
15,15
15,38
15,78
15,42
15,68
15,12
15,3
15,5
15,16
15,1
15,18
15,27
15,34
15,45
16,4
16,13
16,31
16,65
16,72
16,1
16,18
16,27
16,43
16,2
16,9
16,0
16,6
16,55
16,5
16,12
16,3
16,8
16,16
16,28
16,60
16,34
16,45
16,59
16,11
16,10
16,37
16,42
17,19
17,9
17,30
17,0
17,17
17,2
17,15
17,41
17,10
17,7
17,74
17,47
17,51
17,29
17,28
17,20
17,50
17,5
17,79
17,23
18,52
18,77
18,0
18,17
18,11
18,22
18,9
18,7
18,3
18,38
18,4
18,27
18,10
18,5
18,23
18,16
18,47
18,82
18,84
19,77
19,4
19,13
19,1
19,14
19,17
19,52
19,47
19,20
19,69
19,2
19,46
19,3
19,19
19,0
19,9
19,6
19,55
19,5
19,68
20,3
20,17
20,1
20,77
20,47
20,69
20,2
20,0
20,51
20,55
20,5
20,14
20,13
20,8
20,16
21,17
21,1
21,66
21,15
21,2
21,23
21,11
21,37
21,42
22,3
22,14
22,4
22,75
22,32
22,0
22,6
22,51
22,7
22,28
22,48
22,1
22,18
22,27
22,47
22,60
22,45
22,59
22,34
23,3
23,14
23,51
23,0
23,28
23,39
23,86
23,7
23,4
23,35
23,5
23,23
24,29
24,17
24,2
24,15
24,5
24,0
24,7
25,3
25,15
25,2
25,0
25,1
25,7
25,48
25,38
26,4
26,13
26,26
26,8
26,30
26,31
26,51
26,32
26,0
26,28
26,7
26,29
26,16
26,5
27,14
27,32
27,2
27,11
27,15
27,49
27,17
27,8
27,55
27,46
27,1
27,23
27,50
27,76
27,38
27,3
27,34
27,18
27,60
27,0
27,45
27,27
28,14
28,17
28,2
28,52
28,19
28,6
28,1
28,10
28,12
28,8
28,25
28,58
28,9
28,22
28,78
28,42
28,37
29,3
29,4
29,2
29,14
29,51
29,28
29,15
29,29
29,24
29,12
29,16
29,8
30,3
30,4
30,31
30,46
30,51
30,28
30,30
30,0
30,66
30,34
30,1
30,18
30,26
30,27
30,37
30,22
31,22
32,22
32,68
32,78
32,37
32,42
33,26
33,4
33,14
33,6
33,17
33,5
33,61
33,53
33,62
33,46
33,19
33,22
33,9
33,7
34,1
34,9
34,63
35,20
35,1
35,48
35,28
35,51
35,63
41,17
41,26
41,2
41,15
41,11
41,23
42,14
42,4
42,1
42,15
42,6
42,75
42,51
42,0
43,28
43,22
43,85
44,3
44,77
44,13
44,38
44,1
44,7
45,22
45,37
46,22
46,68
46,37
46,42
47,22
47,68
47,78
47,37
47,42
48,24
48,28
48,51
48,85
48,63
49,4
49,3
49,13
49,26
49,66
49,8
49,51
49,28
49,7
49,15
49,16
49,81
49,12
49,0
50,14
50,51
50,28
50,10
50,13
50,63
50,22
51,63
51,22
51,19
51,71
51,2
51,47
51,42
51,37
51,48
51,68
52,13
52,3
52,34
52,10
52,85
52,0
52,20
53,1
53,60
53,18
53,45
53,27
53,59
53,34
53,7
53,15
53,0
53,5
53,22
53,37
54,22
54,19
54,15
54,47
54,42
54,48
54,37
55,4
55,6
55,2
55,1
55,16
55,40
55,20
55,51
55,10
55,63
56,4
56,14
56,17
56,52
56,2
56,28
56,8
56,16
56,24
56,21
56,1
56,34
56,18
56,27
56,59
56,80
56,53
56,61
56,62
56,39
56,11
56,9
56,7
56,32
56,0
57,4
57,29
57,17
57,1
57,20
57,26
57,66
57,15
57,0
57,11
57,9
57,6
57,41
57,13
58,1
58,63
58,9
59,14
59,63
59,51
59,28
59,1
60,77
60,14
60,2
60,3
60,19
60,0
60,9
60,7
60,22
60,29
60,1
60,5
61,14
61,3
61,32
61,20
61,11
61,9
61,7
61,28
61,15
61,13
61,41
61,5
61,42
62,14
62,3
62,2
62,15
62,52
62,1
62,38
62,29
62,18
62,26
62,66
62,64
62,51
62,28
62,37
62,42
