ingredient,count
에틸헥실글리세린,185
나이아신아마이드,166
판테놀,153
소듐하이알루로네이트,153
아데노신,149
하이드로제네이티드레시틴,149
트로메타민,144
프로판다이올,143
잔탄검,138
토코페롤,136
다이소듐이디티에이,131
카보머,131
다이프로필렌글라이콜,117
펜틸렌글라이콜,115
알란토인,114
베타인,97
카프릴릭/카프릭트라이글리세라이드,85
세라마이드엔피,85
알지닌,81
카프릴릴글라이콜,77
베타-글루칸,76
시트릭애씨드,76
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,71
메틸프로판다이올,67
하이드롤라이즈드하이알루로닉애씨드,65
폴리글리세릴-10라우레이트,63
하이알루로닉애씨드,63
스쿠알란,62
병풀추출물,55
덱스트린,54
트레할로오스,52
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,49
향료,48
다이포타슘글리시리제이트,47
소듐하이알루로네이트크로스폴리머,46
소듐시트레이트,46
콜레스테롤,44
마데카소사이드,44
인도멀구슬나무꽃추출물,43
인도멀구슬나무잎추출물,42
하이드록시아세토페논,40
아시아티코사이드,38
리모넨,36
소듐폴리아크릴레이트,35
참산호말추출물,35
소듐파이테이트,35
리날룰,35
울금뿌리추출물,34
글리세레스-26,34
스테아릭애씨드,34
글루타티온,33
프룩토올리고사카라이드,33
해바라기씨오일,33
소듐아세틸레이티드하이알루로네이트,33
아시아틱애씨드,33
홀리바질잎추출물,33
세테아릴알코올,32
마데카식애씨드,31
하이드록시프로필트라이모늄하이알루로네이트,31
락토바실러스발효물,31
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,30
글루코오스,30
자일리톨,29
세린,29
폴리글리세릴-10올리에이트,28
하이드록시에틸셀룰로오스,28
제라니올,27
하이드롤라이즈드소듐하이알루로네이트,27
3-O-에틸아스코빅애씨드,26
글리세릴스테아레이트,26
다이메티콘,25
글루타믹애씨드,25
다이에톡시에틸석시네이트,25
시트로넬올,25
토코페릴아세테이트,24
폴리글리세릴-10스테아레이트,24
아이비고드열매추출물,23
황금추출물,23
글라이신,23
마카다미아씨오일,23
사이아노코발아민,23
스페인감초뿌리추출물,23
소듐폴리아크릴로일다이메틸타우레이트,22
메틸글루세스-20,22
변성알코올,22
폴리글리세린-3,22
아세틸헥사펩타이드-8,22
소듐디엔에이,22
포타슘하이알루로네이트,22
실리카,22
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,22
글루코노락톤,22
시어버터,21
약모밀추출물,21
카프릴릴/카프릴글루코사이드,21
팔미토일트라이펩타이드-1,20
하이드롤라이즈드콜라겐,20
솔비탄아이소스테아레이트,20
페룰릭애씨드,20
카카오추출물,19
시트랄,19
카퍼트라이펩타이드-1,19
아스코빅애씨드,19
레시틴,19
가지열매추출물,19
옥틸도데칸올,19
호호바씨오일,19
폴리글리세릴-3메틸글루코오스다이스테아레이트,19
폴리아크릴레이트크로스폴리머-6,19
팔미토일테트라펩타이드-7,19
글리세릴카프릴레이트,18
라벤더오일,18
올리브오일,18
하이드로제네이티드폴리아이소부텐,18
녹차추출물,18
트라이에틸헥사노인,18
피브이엠/엠에이코폴리머,18
카페인,18
하이드롤라이즈드글라이코사미노글리칸,17
돌콩오일,17
팔미틱애씨드,17
2,17
000ppm),17
프룩토오스,17
클로렐라 불가리스추출물,17
팔미토일트라이펩타이드-5,17
히스티딘,17
소듐스테아로일글루타메이트,16
세테아릴올리베이트,16
프롤린,16
살리실릭애씨드,16
세틸에틸헥사노에이트,16
팔미토일펜타펩타이드-4,16
폴리솔베이트20,16
만니톨,16
솔비탄올리베이트,16
병풀잎추출물,16
베르가모트오일,16
락틱애씨드,15
폴리쿼터늄-51,15
메틸트라이메티콘,15
다이소듐포스페이트,15
벤질글라이콜,15
베헤닐알코올,15
바이오사카라이드검-1,15
소듐아스코빌포스페이트,15
아이소펜틸다이올,15
소듐클로라이드,15
락토바실러스/콩발효추출물,15
알라닌,15
아이리쉬모스추출물,15
치자추출물,14
아스파틱애씨드,14
폴리메틸실세스퀴옥세인,14
말토덱스트린,14
트레오닌,14
바이오틴,14
엑토인,14
하이드롤라이즈드엘라스틴,14
잇꽃꽃추출물,14
카카오씨추출물,14
데실글루코사이드,14
글리세릴글루코사이드,14
징크피씨에이,14
솔비톨,13
풀루란,13
폴리글루타믹애씨드,13
글리세릴폴리메타크릴레이트,13
발린,13
셀룰로오스검,13
아이소류신,13
피토스핑고신,13
페닐알라닌,13
메티오닌,13
트라이소듐이디티에이,13
라이신,13
락토바실러스발효용해물,13
아라키딜글루코사이드,13
센티드제라늄꽃오일,13
다마스크장미꽃수,13
트라넥사믹애씨드,13
로즈마리잎오일,13
류신,13
자일리틸글루코사이드,13
3-부탄다이올,13
옥틸도데세스-16,12
무화과추출물,12
피토스테롤,12
모란뿌리추출물,12
시스테인,12
멕시칸주니퍼오일,12
유채스테롤,12
소듐락테이트,12
흰버드나무껍질추출물,12
타이로신,12
쇠비름추출물,12
하이드로제네이티드폴리데센,12
카프릴로일살리실릭애씨드,12
알파-알부틴,12
비닐다이메티콘,12
다이페닐다이메티콘,12
트라이펩타이드-1,12
글라이코리피드,12
헥사펩타이드-9,11
덱스트란,11
아세틸글루코사민,11
글리세릴스테아레이트시트레이트,11
소듐하이드록사이드,11
사탕수수추출물,11
프로필렌글라이콜,11
하이드록시프로필사이클로덱스트린,11
안하이드로자일리톨,11
하이드록시에틸우레아,11
비사보롤,11
오렌지껍질오일,11
콜라겐,10
아이소프로필미리스테이트,10
소듐벤조에이트,10
폴리솔베이트60,10
솔비탄올리에이트,10
티옥틱애씨드,10
포타슘솔베이트,10
글라이코실트레할로오스,10
에탄올,10
비피다발효용해물,10
C12-13알케스-9,10
쑥잎추출물,10
알부틴,10
C14-22알코올,10
000 ppm),10
다시마추출물,10
마트리카리아꽃추출물,9
수용성콜라겐,9
레스베라트롤,9
에톡시다이글라이콜,9
베타-카로틴,9
에스에이치-올리고펩타이드-1,9
젤란검,9
소듐메타포스페이트,9
한련초잎추출물,9
판토테닉애씨드,9
류코노스톡/무발효여과물,9
아스코빌글루코사이드,9
아이소노닐아이소노나노에이트,9
노나펩타이드-1,9
피이지-100스테아레이트,9
말라카이트추출물,9
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,9
백미꽃추출물,9
포트마리골드꽃추출물,9
소듐글루코네이트,9
당느릅나무뿌리추출물,9
C12-14알케스-12,9
당근추출물,9
하이드로제네이티드스타치하이드롤리세이트,9
알로에베라꽃추출물,9
폴리아이소부텐,9
에틸헥실팔미테이트,9
폴리글리세릴-2다이폴리하이드록시스테아레이트,9
에리스리톨,8
스핑고모나스발효추출물,8
에스에이치-폴리펩타이드-1,8
피이지-40하이드로제네이티드캐스터오일,8
아라키딜알코올,8
다마스크장미꽃오일,8
폴리글리세릴-6라우레이트,8
글라이콜릭애씨드,8
비타민나무열매추출물,8
세라마이드이오피,8
지모뿌리추출물,8
메도우폼씨오일,8
페닐트라이메티콘,8
올레익애씨드,8
포타슘포스페이트,8
소듐피씨에이,8
세라마이드에이피,8
참마뿌리추출물,8
수크로오스스테아레이트,8
사카라이드아이소머레이트,8
밤껍질추출물,8
황련뿌리추출물,8
띠뿌리추출물,8
다이메틸아이소소바이드,8
니코틴아마이드아데닌다이뉴클레오타이드,8
피피지-13-데실테트라데세스-24,7
포타슘하이드록사이드,7
효모발효여과물,7
아가,7
호장근뿌리추출물,7
비에이치티,7
다이메틸실란올하이알루로네이트,7
암모늄폴리아크릴로일다이메틸타우레이트,7
페녹시에탄올,7
로즈마리잎추출물,7
사과추출물,7
석시닉애씨드,7
캐모마일꽃오일,7
도둑놈의지팡이뿌리추출물,7
다이메티콘올,7
세라마이드엔에스,7
칡뿌리추출물,7
티트리잎추출물,7
수크로오스,7
유비퀴논,7
드럼스틱씨오일,7
수크로오스팔미테이트,7
다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,7
소듐포스페이트,7
마그네슘클로라이드,7
테트라데실아미노부티로일발릴아미노부티릭우레아트라이플루오로아세테이트,7
하이드로제네이티드폴리(C6-14올레핀),7
피이지-30다이폴리하이드록시스테아레이트,7
포스파티딜콜린,6
세라마이드에이에스,6
메틸다이아이소프로필프로피온아마이드,6
바쿠치올,6
포타슘세틸포스페이트,6
폴리글리세릴-3다이아이소스테아레이트,6
피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,6
에틸헥실글리세린*,6
효모/감자추출물발효여과물,6
카르니틴,6
비스-피이지-18메틸에터다이메틸실레인,6
소듐헤파린,6
포타슘클로라이드,6
아세틸테트라펩타이드-2,6
4-터피네올,6
아세틸테트라펩타이드-5,6
콜라겐추출물,6
커피콩추출물,6
아세틸테트라펩타이드-3,6
칼슘클로라이드,6
붉은토끼풀꽃추출물,6
카프릴릴메티콘,6
아데노신트라이포스페이트,6
바오밥나무씨오일,6
편백잎추출물,6
인삼추출물,6
하이드롤라이즈드디엔에이,6
한련초추출물,6
수크로오스다이스테아레이트,6
프룩탄,6
타임잎추출물*,6
마이카,6
작약뿌리추출물,6
팔미토일헥사펩타이드-12,6
글라이코스핑고리피드,6
스피어민트추출물,6
접시꽃추출물,6
다이메티콘/비닐다이메티콘크로스폴리머,6
펜타에리스리틸테트라에틸헥사노에이트,6
카르노신,6
비파나무잎추출물,6
베타-시토스테롤,6
C12-20알킬글루코사이드,6
달맞이꽃꽃추출물,6
미리스틸글루코사이드,6
라우릴글루코사이드,6
효모/보리씨발효여과물,6
적색산화철,6
클레리오일,6
알로에베라잎즙,5
로우스위트블루베리추출물,5
다이펩타이드-4,5
옥수수전분,5
비니거,5
아모다이메티콘,5
티트리잎오일,5
소듐다이라우미도글루타미드라이신,5
우레아,5
녹차씨오일,5
산양삼추출물,5
불가리스쑥오일,5
이눌린라우릴카바메이트,5
에스에이치-옥타펩타이드-4,5
버지니아풍년화추출물,5
올리고펩타이드-1,5
센티드제라늄꽃오일+,5
오일팜오일,5
홍삼추출물,5
다이부틸아디페이트,5
아세틸다이펩타이드-1세틸에스터,5
티아민에이치씨엘,5
레몬밤꽃/잎/줄기수*,5
로즈마리잎수*,5
오렌지껍질오일+,5
라임전초오일+,5
흰목이버섯추출물,5
에스에이치-데카펩타이드-7,5
아세틸테트라펩타이드-11,5
유칼립투스잎추출물*,5
로즈마리잎오일+,5
폴스애플민트잎추출물*,5
로즈힙열매추출물*,5
폴리글리세릴-10미리스테이트,5
글리세릴스테아레이트에스이,5
팔미토일트라이펩타이드-8,5
에스에이치-올리고펩타이드-2,5
니코틴아마이드모노뉴클레오타이드,5
소듐하이알루로네이트(1,5
폴리글루쿠로닉애씨드,5
라임전초오일,5
퀸즈랜드넛오일,5
에스에이치-폴리펩타이드-22,5
고삼뿌리추출물,5
락토코쿠스발효용해물,5
소듐하이알루로네이트다이메틸실란올,5
칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,5
마그네슘아스코빌포스페이트,5
글리세릴올리에이트,5
에스에이치-폴리펩타이드-3,5
폴리글리세릴-3다이스테아레이트,5
타우린,5
아라비아고무나무검,5
레티놀,5
코코-카프릴레이트/카프레이트,5
낫토검,5
폴리글리세릴-4카프레이트,5
하이드롤라이즈드해면,5
다이글리세린,5
아세틸옥타펩타이드-3,5
솔비탄세스퀴올리에이트,5
다이펩타이드-2,5
헥실데칸올,5
사과씨추출물,5
하수오뿌리추출물,5
대왕소나무잎추출물,5
감나무잎추출물,5
광곽향오일,5
2-헥산다이올*,5
석류추출물,5
아스타잔틴,5
리놀레익애씨드,5
트라이소듐에틸렌다이아민다이석시네이트,5
별꽃추출물,5
아스코빌팔미테이트,5
다이카프릴릴카보네이트,5
셀룰로오스,5
베타인살리실레이트,5
데이지꽃추출물,5
레몬밤잎추출물,5
