건성,민감성,복합성,약건성,지성,트러블성,중성,product_id
4.83,4.78,4.66,5.0,4.94,5.0,5.0,E072
4.93,4.92,4.75,5.0,4.64,5.0,5.0,E073
4.89,4.71,4.92,,5.0,5.0,4.6,E074
4.88,5.0,5.0,5.0,5.0,5.0,5.0,E075
4.96,4.88,4.93,5.0,4.93,5.0,,E077
4.8,4.6,4.74,,4.72,4.2,5.0,E078
4.89,4.78,4.84,5.0,4.86,5.0,5.0,E079
4.88,4.88,4.89,4.5,4.93,5.0,5.0,E080
4.78,4.88,4.9,,4.78,4.8,5.0,E081
4.79,4.87,4.97,5.0,4.83,4.86,5.0,E082
4.88,4.93,4.84,5.0,5.0,5.0,5.0,E083
4.68,4.64,4.77,5.0,4.89,4.22,4.0,E084
4.67,4.8,4.75,,4.76,5.0,3.8,E085
4.54,4.5,4.8,4.5,4.92,5.0,5.0,E087
4.82,4.93,4.78,5.0,4.81,4.25,5.0,E088
4.81,5.0,4.96,,4.78,4.67,5.0,E089
4.88,4.84,4.72,,5.0,5.0,4.0,E091
4.88,5.0,4.91,5.0,5.0,5.0,,E092
4.96,4.83,5.0,5.0,4.86,4.8,5.0,E093
4.92,4.95,4.71,5.0,5.0,4.62,,E094
5.0,5.0,5.0,5.0,4.92,5.0,5.0,E095
5.0,5.0,4.93,5.0,4.94,5.0,5.0,E096
4.79,4.69,4.9,5.0,4.89,4.67,5.0,E097
4.81,4.81,4.94,,4.73,4.5,4.4,E098
4.94,4.94,4.96,,4.94,5.0,5.0,E099
4.84,4.06,4.36,,4.75,4.53,,E100
5.0,5.0,5.0,,4.89,5.0,5.0,E101
4.62,4.67,4.69,5.0,4.8,4.6,5.0,E102
4.77,4.81,4.83,4.0,4.82,5.0,4.5,E103
4.89,4.71,4.63,5.0,4.86,4.28,5.0,E104
4.57,4.64,4.63,,4.83,4.33,,E105
4.78,4.77,4.77,,4.83,5.0,,E106
4.88,4.88,4.9,4.67,4.94,5.0,5.0,E107
5.0,5.0,4.76,5.0,5.0,4.86,,E108
4.81,4.56,4.74,4.0,4.31,4.23,4.75,E109
4.91,4.76,4.73,,4.97,4.5,,E110
4.81,4.79,4.68,,4.91,4.75,,E111
4.81,4.56,4.75,,4.8,5.0,,E112
4.94,4.89,4.81,4.5,4.64,4.0,5.0,E113
4.77,4.93,4.84,5.0,5.0,5.0,5.0,E114
4.62,4.9,4.72,5.0,4.67,5.0,4.5,E115
4.96,4.92,4.76,5.0,4.89,4.78,5.0,E116
4.83,4.65,4.68,5.0,5.0,5.0,5.0,E117
4.27,4.7,4.82,4.5,4.56,5.0,,E118
4.75,5.0,4.88,,5.0,5.0,,E119
4.58,4.56,4.84,4.5,5.0,4.0,5.0,E120
4.81,4.88,4.77,,4.41,4.25,5.0,E122
4.93,4.93,4.95,4.67,4.93,4.8,5.0,E123
4.79,4.95,4.72,,4.75,4.85,,E124
4.9,4.79,4.85,5.0,4.88,5.0,5.0,E125
4.84,5.0,4.74,5.0,4.89,4.8,5.0,E126
4.75,4.69,4.49,,4.71,5.0,5.0,E127
4.92,4.57,4.95,5.0,4.64,5.0,4.83,E128
5.0,5.0,5.0,,4.67,5.0,5.0,E129
4.96,4.88,4.87,4.83,4.86,4.75,5.0,E130
4.68,4.55,4.8,,4.86,4.8,5.0,E131
4.86,4.9,4.8,5.0,4.82,5.0,5.0,E132
4.93,4.77,4.82,5.0,4.76,4.0,5.0,E133
4.95,4.92,4.9,5.0,5.0,5.0,5.0,E134
4.87,4.72,4.68,5.0,4.6,3.1,5.0,E135
4.53,4.73,4.78,5.0,4.72,3.0,4.67,E136
4.92,5.0,4.89,4.86,5.0,5.0,5.0,E137
4.9,5.0,4.94,,5.0,5.0,5.0,E138
4.95,4.75,4.79,,4.8,4.2,,E139
4.91,4.86,4.83,4.33,4.76,5.0,5.0,E140
4.52,5.0,4.89,5.0,5.0,5.0,5.0,E141
4.95,4.88,4.96,,5.0,5.0,5.0,E142
4.81,4.82,4.71,5.0,4.75,4.5,4.5,E143
5.0,4.53,4.62,,4.78,4.44,4.0,E144
5.0,5.0,5.0,,4.92,5.0,5.0,E145
4.74,4.86,4.67,5.0,4.83,5.0,5.0,E146
4.81,4.83,4.69,5.0,4.85,4.25,5.0,E147
4.84,4.6,4.89,4.25,4.92,4.83,4.8,E148
5.0,4.65,4.92,5.0,4.92,5.0,4.8,E149
5.0,4.82,4.89,5.0,4.83,4.75,4.8,E150
4.95,5.0,4.91,,4.92,5.0,4.8,E151
4.71,4.95,4.82,5.0,4.64,5.0,5.0,E152
4.76,4.95,4.88,,4.89,4.83,5.0,E153
4.71,4.78,4.71,5.0,4.87,4.0,,E154
4.19,4.12,4.58,5.0,4.81,4.67,4.67,E155
4.62,4.43,4.43,3.0,4.59,4.67,4.0,E156
4.78,4.71,4.74,4.5,4.44,,5.0,E157
5.0,4.56,4.73,4.5,4.69,4.5,5.0,E158
4.5,4.69,4.68,1.0,4.64,5.0,4.0,E159
4.93,5.0,4.97,5.0,4.93,5.0,5.0,E160
4.86,4.12,4.67,5.0,4.29,4.18,5.0,E162
4.72,4.81,4.9,5.0,4.83,,,E163
4.71,4.89,4.89,,4.67,4.43,5.0,E164
4.76,4.96,4.86,,5.0,5.0,5.0,E165
4.78,4.62,4.85,5.0,5.0,4.5,,E166
4.6,4.56,4.79,,4.74,4.67,,E167
4.9,4.89,4.94,5.0,5.0,5.0,4.5,E168
4.85,4.68,4.53,4.0,4.56,3.5,3.0,E169
5.0,4.88,5.0,5.0,5.0,5.0,5.0,E170
5.0,4.75,4.94,5.0,5.0,5.0,,E171
4.92,4.91,4.9,,4.85,4.67,5.0,E172
4.9,4.88,4.69,5.0,4.56,5.0,,E173
4.96,5.0,4.96,5.0,4.92,5.0,,E174
4.97,5.0,4.93,5.0,4.8,5.0,4.8,E175
5.0,4.92,4.95,5.0,4.93,4.67,5.0,E176
4.88,5.0,4.96,5.0,4.89,,5.0,E177
4.91,4.75,4.95,5.0,4.83,5.0,5.0,E178
5.0,5.0,4.97,5.0,4.93,5.0,5.0,E179
4.94,4.91,5.0,5.0,4.83,5.0,4.88,E180
5.0,5.0,5.0,4.5,5.0,5.0,5.0,E181
4.84,5.0,4.83,5.0,5.0,4.8,5.0,E182
5.0,4.91,4.94,4.5,4.85,4.67,5.0,E183
4.9,4.86,4.76,5.0,5.0,5.0,5.0,E184
4.97,4.8,4.89,5.0,4.67,5.0,5.0,E185
4.87,4.58,4.82,5.0,5.0,5.0,4.8,E186
4.96,4.85,4.82,5.0,4.81,5.0,5.0,E187
4.89,4.88,4.92,,4.75,5.0,5.0,E188
4.7,4.82,4.64,,4.65,5.0,5.0,E189
5.0,4.85,4.92,5.0,5.0,4.25,5.0,E190
4.95,4.89,4.87,5.0,5.0,5.0,5.0,E191
4.94,4.76,5.0,4.67,4.64,5.0,5.0,E192
4.9,4.65,4.85,5.0,4.8,5.0,5.0,E193
4.86,4.96,4.64,,4.68,3.0,4.0,E194
4.89,5.0,5.0,5.0,5.0,5.0,5.0,E195
4.86,4.85,4.88,5.0,5.0,5.0,5.0,E196
4.8,4.82,4.8,5.0,4.88,4.5,5.0,E197
4.86,4.96,4.63,5.0,4.82,5.0,5.0,E198
