건성,민감성,복합성,약건성,지성,트러블성,중성,product_id
5.0,5.0,5.0,,5.0,5.0,5.0,C85
5.0,5.0,5.0,,5.0,5.0,5.0,C87
5.0,5.0,5.0,,5.0,5.0,,C88
5.0,5.0,5.0,,5.0,5.0,,C89
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C90
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C91
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C92
5.0,5.0,5.0,,5.0,5.0,5.0,C93
5.0,5.0,5.0,,5.0,5.0,,C96
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C99
5.0,5.0,5.0,5.0,5.0,5.0,,C104
5.0,5.0,5.0,,5.0,5.0,5.0,C105
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C107
5.0,5.0,5.0,5.0,5.0,,5.0,C108
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C112
5.0,5.0,5.0,,5.0,5.0,5.0,C113
5.0,5.0,5.0,,5.0,5.0,5.0,C115
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C117
5.0,5.0,5.0,,5.0,5.0,5.0,C118
5.0,5.0,5.0,,5.0,5.0,5.0,C119
5.0,5.0,5.0,,5.0,5.0,5.0,C120
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C121
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C124
5.0,5.0,5.0,5.0,5.0,5.0,,C125
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C128
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C129
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C130
5.0,5.0,5.0,5.0,5.0,5.0,,C131
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C132
5.0,5.0,5.0,5.0,5.0,,5.0,C133
5.0,5.0,5.0,,5.0,5.0,5.0,C135
5.0,5.0,5.0,,5.0,5.0,5.0,C136
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C139
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C140
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C141
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C143
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C144
5.0,5.0,5.0,5.0,5.0,5.0,,C146
5.0,5.0,5.0,5.0,5.0,5.0,,C147
5.0,5.0,5.0,,5.0,5.0,5.0,C149
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C150
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C151
5.0,5.0,5.0,,5.0,5.0,5.0,C152
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C154
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C155
5.0,5.0,5.0,5.0,5.0,,,C156
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C158
5.0,5.0,5.0,,5.0,5.0,5.0,C159
5.0,5.0,5.0,,5.0,5.0,5.0,C160
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C162
5.0,5.0,5.0,5.0,5.0,5.0,,C163
5.0,5.0,5.0,,5.0,5.0,5.0,C166
5.0,5.0,5.0,,5.0,5.0,,C167
5.0,5.0,5.0,5.0,5.0,5.0,,C168
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C173
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C175
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C177
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C178
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C181
5.0,5.0,5.0,5.0,5.0,,,C182
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C183
5.0,5.0,5.0,,5.0,5.0,5.0,C184
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C185
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C186
5.0,5.0,5.0,5.0,5.0,,,C187
5.0,5.0,5.0,,5.0,5.0,,C188
5.0,5.0,5.0,5.0,5.0,5.0,,C192
5.0,5.0,5.0,,5.0,5.0,,C196
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C197
5.0,5.0,5.0,,5.0,5.0,5.0,C200
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C201
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C202
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C203
5.0,5.0,5.0,5.0,5.0,5.0,,C205
5.0,5.0,5.0,,5.0,5.0,,C207
5.0,5.0,5.0,,5.0,5.0,5.0,C208
5.0,5.0,5.0,,5.0,5.0,,C210
5.0,5.0,5.0,5.0,5.0,5.0,,C212
5.0,5.0,5.0,,5.0,5.0,,C214
5.0,5.0,5.0,,5.0,5.0,,C215
5.0,5.0,5.0,,5.0,5.0,,C216
5.0,5.0,5.0,,5.0,5.0,,C218
5.0,5.0,5.0,5.0,5.0,5.0,,C219
5.0,5.0,5.0,5.0,5.0,5.0,,C220
5.0,5.0,5.0,,5.0,5.0,5.0,C221
5.0,5.0,5.0,,5.0,5.0,,C224
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C225
5.0,5.0,5.0,5.0,5.0,5.0,,C227
5.0,5.0,5.0,,5.0,5.0,,C228
5.0,5.0,5.0,,5.0,5.0,,C230
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C231
5.0,5.0,5.0,5.0,5.0,5.0,,C233
5.0,5.0,5.0,5.0,5.0,5.0,,C235
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C236
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C237
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C238
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C239
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C241
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C243
5.0,5.0,5.0,,5.0,5.0,5.0,C244
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C246
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C247
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C249
5.0,5.0,5.0,,5.0,5.0,5.0,C250
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C252
5.0,5.0,5.0,,5.0,5.0,5.0,C253
5.0,5.0,5.0,5.0,5.0,5.0,,C257
5.0,5.0,5.0,,5.0,5.0,5.0,C258
5.0,5.0,5.0,,5.0,5.0,,C260
5.0,5.0,5.0,5.0,5.0,5.0,,C271
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C272
5.0,5.0,5.0,5.0,5.0,5.0,,C274
5.0,5.0,5.0,,5.0,,5.0,C275
5.0,5.0,5.0,,5.0,5.0,5.0,C277
5.0,5.0,5.0,,5.0,5.0,,C278
5.0,5.0,5.0,,5.0,5.0,5.0,C281
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C283
5.0,5.0,5.0,5.0,5.0,5.0,,C284
5.0,5.0,5.0,,5.0,5.0,5.0,C291
5.0,5.0,5.0,5.0,5.0,,5.0,C294
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C295
5.0,5.0,5.0,,5.0,5.0,5.0,C296
5.0,5.0,5.0,,5.0,5.0,5.0,C297
5.0,5.0,5.0,5.0,5.0,5.0,,C298
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C300
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C302
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C303
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C304
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C308
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C311
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C312
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C314
5.0,5.0,5.0,,5.0,5.0,5.0,C315
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C320
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C326
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C329
