ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
노나펩타이드-1,27,0,3,2,9,13
다이카프릴릴에터,27,0,2,0,0,25
치자추출물,26,1,0,0,13,12
아이소류신,26,0,0,3,13,10
당느릅나무뿌리추출물,26,8,0,3,9,6
트라넥사믹애씨드,26,0,0,1,17,8
페닐트라이메티콘,26,3,1,1,8,13
데실글루코사이드,26,6,0,4,14,2
칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,26,2,3,2,6,13
다이카프릴릴카보네이트,25,1,1,0,5,18
세라마이드이오피,25,1,4,0,9,11
유채스테롤,25,0,0,3,12,10
라이신,25,0,0,2,13,10
류신,25,0,0,2,13,10
메티오닌,25,0,0,2,13,10
아세틸테트라펩타이드-5,24,3,3,0,6,12
셀룰로오스검,24,0,3,3,12,6
메도우폼씨오일,24,1,2,1,8,12
에리스리톨,24,2,0,4,9,9
폴리글루타믹애씨드,24,1,0,1,13,9
티트리잎추출물,24,0,0,7,9,8
카카오씨추출물,24,1,2,2,14,5
메틸글루세스-20,24,0,1,1,22,0
글라이코리피드,23,0,0,0,12,11
글라이코실트레할로오스,23,1,2,1,10,9
퀸즈랜드넛오일,23,2,2,2,5,12
백미꽃추출물,23,1,1,4,9,8
한련초잎추출물,23,3,1,0,9,10
콜라겐,23,0,2,0,15,6
타이로신,23,0,0,2,12,9
포트마리골드꽃추출물,22,1,2,0,12,7
하이드롤라이즈드엘라스틴,22,2,1,0,14,5
당근추출물,22,3,2,0,9,8
하이드로제네이티드스타치하이드롤리세이트,22,1,2,1,9,9
페룰릭애씨드,22,0,0,0,19,3
바이오틴,22,0,0,0,14,8
프룩탄,21,2,3,1,6,9
비사보롤,21,1,0,1,11,8
다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,21,0,1,1,9,10
수용성콜라겐,21,1,1,0,12,7
피이지-100스테아레이트,21,1,0,0,9,11
하이드록시에틸우레아,21,3,4,0,11,3
귀리커넬추출물,21,2,3,0,7,9
다이메틸실란올하이알루로네이트,21,0,0,3,8,10
프로폴리스추출물,21,1,2,1,11,6
접시꽃추출물,20,2,1,3,6,8
유칼립투스잎추출물,20,1,3,1,8,7
소듐포스페이트,20,0,2,1,7,10
효모발효여과물,20,1,0,2,7,10
레티놀,20,3,1,1,10,5
다마스크장미꽃수,20,0,0,1,13,6
폴리아크릴레이트-13,20,2,0,0,3,15
베타-카로틴,20,1,2,0,9,8
아이리쉬모스추출물,20,1,1,3,14,1
녹차수,20,1,2,2,7,8
수크로오스,20,0,1,3,7,9
하이드록시프로필사이클로덱스트린,20,4,0,0,13,3
다이페닐다이메티콘,20,1,1,2,13,3
세라마이드엔에스,20,1,3,0,7,9
하이드로제네이티드폴리,20,9,4,0,7,0
잇꽃꽃추출물,19,1,1,1,14,2
에스에이치-올리고펩타이드-1,19,0,1,0,12,6
콜라겐추출물,19,2,0,0,10,7
소듐락테이트,19,2,0,2,12,3
팔미토일헥사펩타이드-12,19,1,1,1,6,10
소듐피씨에이,19,0,3,3,8,5
모란뿌리추출물,19,1,0,0,12,6
덱스트란,19,0,1,1,11,6
사과추출물,19,1,1,3,8,6
세라마이드에이에스,19,1,3,0,6,9
알로에베라잎추출물,18,5,0,4,4,5
티타늄디옥사이드,18,0,0,0,8,10
미리스틱애씨드,18,4,0,0,4,10
호장근뿌리추출물,18,4,0,3,7,4
알파-알부틴,18,0,0,0,14,4
사탕수수추출물,18,1,2,5,10,0
칡뿌리추출물,18,5,0,1,7,5
쑥잎추출물,18,1,1,1,11,4
드럼스틱씨오일,18,0,4,0,7,7
피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,18,0,0,1,6,11
폴리메틸실세스퀴옥세인,18,3,0,1,14,0
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,18,1,0,0,10,7
광곽향오일,17,1,0,1,5,10
우레아,17,2,0,2,5,8
카르노신,17,1,3,0,6,7
소듐하이알루로네이트다이메틸실란올,17,0,0,3,6,8
황련뿌리추출물,17,2,0,2,8,5
밤껍질추출물,17,2,0,2,8,5
캐모마일꽃오일,17,1,1,0,7,8
풀루란,16,0,0,0,13,3
알로에베라꽃추출물,16,0,1,1,9,5
판토테닉애씨드,16,3,0,0,9,4
비에이치티,16,2,1,1,7,5
아세틸다이펩타이드-1세틸에스터,16,1,0,1,5,9
아세틸테트라펩타이드-9,16,0,3,0,4,9
다마스크장미꽃오일,16,0,0,0,12,4
베타-시토스테롤,16,0,2,1,6,7
펜타에리스리틸테트라아이소스테아레이트,16,1,0,1,2,12
알부틴,16,0,0,1,11,4
아세틸테트라펩타이드-2,15,1,2,0,6,6
리놀레익애씨드,15,0,1,0,6,8
아세틸테트라펩타이드-3,15,0,2,0,7,6
달맞이꽃꽃추출물,15,3,1,1,6,4
소나무잎추출물,15,4,0,3,4,4
