ingredient,product_count,cat_에센스/세럼/앰플,ratio_에센스/세럼/앰플
세틸포스페이트,2,2,1.0
에스에이치-데카펩타이드-9,2,2,1.0
수크로오스라우레이트,2,2,1.0
팥추출물,2,2,1.0
바나나추출물,2,2,1.0
소듐하이알루 로네이트크로스폴리머,2,2,1.0
마트리카리아추출물,2,2,1.0
구기자추출물,2,2,1.0
인동덩굴꽃추출물,2,2,1.0
펜타에리스리틸테트라아이소스테아레이트,2,2,1.0
로즈마리추출물,2,2,1.0
마트리카리아꽃/잎추출물,2,2,1.0
감추출물,2,2,1.0
소듐아세틸레이티드하이알 루로네이트,2,2,1.0
아미노메틸프로판다이올,2,2,1.0
제비꽃꽃추출물,2,2,1.0
사탕무뿌리추출물,2,2,1.0
창포뿌리추출물,2,2,1.0
효모/자일리눔/홍차발효물,2,2,1.0
세틸알코올,2,2,1.0
사포닌,2,2,1.0
글리세린-3크로스폴리머,2,2,1.0
복숭아추출물,2,2,1.0
살비아잎추출물,2,2,1.0
해수,2,2,1.0
하이드롤라이즈드치자추출물,2,2,1.0
보론나이트라이드,2,2,1.0
구아검,2,2,1.0
워터민트추출물,2,2,1.0
보리지씨오일,2,2,1.0
소듐하이알루로 네이트,2,2,1.0
파네솔,2,2,1.0
하이알 루로닉애씨드,2,2,1.0
하이드롤라이즈드소듐하이알루로네이 트,2,2,1.0
하이드롤라이즈드맥아추출물,2,2,1.0
미역추출물,2,2,1.0
하이드롤라이즈드삼색제비꽃추출물,2,2,1.0
벤질살리실레이트,2,2,1.0
벤질벤조에이트,2,2,1.0
글리세레스-25피씨에이아이소스테아레이트,2,2,1.0
포스포리피드,2,2,1.0
폴리우레탄-15,2,2,1.0
은행추출물,2,2,1.0
생강추출물,2,2,1.0
하이드록시프롤린,2,2,1.0
편백오일,2,2,1.0
서양톱풀추출물,2,2,1.0
암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트 크로스폴리머,2,2,1.0
포타슘코코일글리시네이트,2,2,1.0
폴리아크릴레이트-13,2,2,1.0
글라이콜다이스테아레이트,2,2,1.0
멕시칸치아씨추출물,2,2,1.0
하이드레이티드실리카,2,2,1.0
하이드롤 라이즈드치자추출물,2,2,1.0
하이알루로닉 애씨드,2,2,1.0
소듐메타 포스페이트,2,2,1.0
피피지-13 -데실테트라데세스-24,2,2,1.0
폴리실리콘-11,2,2,1.0
락토바실러스,2,2,1.0
소듐아크릴레이트크로스폴리머-2,2,2,1.0
폴리쿼터늄-7,2,2,1.0
녹차씨추출물,2,2,1.0
트라이데세스-10,2,2,1.0
스테아릴글리시레티네이트,2,2,1.0
버지니아풍년화잎추출물,2,2,1.0
아세틸테트라펩타이드-9,2,2,1.0
바오밥나무씨추출물,2,2,1.0
소엽잎추출물,2,2,1.0
포트마리골드추출물,2,2,1.0
하이드록시메톡시페닐데카논,2,2,1.0
쿼세틴,2,2,1.0
소듐아크릴레이트/비닐알코올코폴리머,2,2,1.0
포도덩굴수액,2,2,1.0
빙하수,2,2,1.0
알지닌/라이신폴리펩타이드,2,2,1.0
C18-21알케인,2,2,1.0
트라이펩타이드-10시트룰린,2,2,1.0
자일로오스,2,2,1.0
토마추출물,2,2,1.0
수용성엘라스틴,2,2,1.0
헥사펩타이드-12,2,2,1.0
팔미토일트라이펩타이드-38,2,2,1.0
트라이프로필렌글라이콜,2,2,1.0
멜론추출물,2,2,1.0
리날룰 *표시: belif original formula +표시: 식물 유래 향,2,2,1.0
오리스뿌리추출물,2,2,1.0
피이지-8,2,2,1.0
사카라이드하이드롤리세이트,2,2,1.0
황해쑥잎수,2,2,1.0
하이드록시프로필스타치포스페이트,2,2,1.0
라이코펜,2,2,1.0
영지버섯추출물,2,2,1.0
실리카다이메틸실릴레이트,2,2,1.0
세테아레스-20,2,2,1.0
아티초크잎추출물,2,2,1.0
실버위드추출물,2,2,1.0
삼백초추출물,2,2,1.0
수련추출물,2,2,1.0
토마토수,2,2,1.0
유용성감초추출물,2,2,1.0
피브로넥틴,2,2,1.0
토마토즙,2,2,1.0
토마토열매/잎/줄기추출물,2,2,1.0
오레가노잎추출물,2,2,1.0
콥티스뿌리추출물,2,2,1.0
다이소듐스테아로일글루타메이트,2,2,1.0
서인도체리열매추출물,2,2,1.0
브로멜라인,2,2,1.0
아라키딕애씨드,2,2,1.0
이눌린,2,2,1.0
폴리글리세릴-10아이소스테아레이트,2,2,1.0
마누카잎추출물,2,2,1.0
다이펩타이드-15,2,2,1.0
다이스타치포스페이트,2,2,1.0
라우로일라이신,2,2,1.0
다이하이드로미리세틴,2,2,1.0
라벤더꽃추출물,2,2,1.0
다이에틸헥실시링질리덴말로네이트,2,2,1.0
돌콩배아추출물,2,2,1.0
트라이데케인,2,2,1.0
운데케인,2,2,1.0
암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머,2,2,1.0
라이신에이치씨엘,2,2,1.0
벤조트라이아졸릴도데실p-크레솔,2,2,1.0
베티버뿌리오일,2,2,1.0
세트리모늄브로마이드,2,2,1.0
올리고펩타이드-68,2,2,1.0
피피지-26-부테스-26,2,2,1.0
홍삼추출물,2,2,1.0
아세틸헥사펩타이드-1,2,2,1.0
사발팜열매추출물,2,2,1.0
하이드롤라이즈드호호바에스터,2,2,1.0
프로필헵틸카프릴레이트,2,2,1.0
에스에이치-올리 고펩타이드-1,2,2,1.0
에델바이스캘러스배양추출물,2,2,1.0
제라니올※ ※식물유래 에센셜오일 자체에 원래 포함된 성분,2,2,1.0
로우스 위트블루베리추출물,2,2,1.0
솔비탄세스퀴올리에이 트,2,2,1.0
다발방패버섯추출물,2,2,1.0
클로페네 신,2,2,1.0
복숭아수,2,2,1.0
멕시칸치아씨오일,2,2,1.0
멘톡시프로판다이올,2,2,1.0
마트리카리아꽃수,2,2,1.0
향부자추출물,2,2,1.0
연교추출물,2,2,1.0
세라마이드3,2,2,1.0
세라마이드2,2,2,1.0
효모발효물,2,2,1.0
세라마이드1,2,2,1.0
라반딘오일,2,2,1.0
하이드롤라이즈드알진,2,2,1.0
겔리듐 카르틸라기네움추출물,2,2,1.0
일랑일랑꽃오일,2,2,1.0
톳추출물,2,2,1.0
폴리글리세릴-6카프릴레이트,2,2,1.0
T-부틸알코올,2,2,1.0
갈락토미세스발효여과물,2,2,1.0
서양민들레잎추출물,2,2,1.0
원추리꽃추출물,2,2,1.0
매실추출물,2,2,1.0
호두추출물,2,2,1.0
연꽃추출물,2,2,1.0
페퍼민트잎추출물,2,2,1.0
둥굴레뿌리줄기추출물,2,2,1.0
마돈나백합비늘줄기추출물,2,2,1.0
소듐카보머,2,2,1.0
꿀,2,2,1.0
카프릴릴/카프릭트라이글리세라이드,2,2,1.0
사이클로펜타실록세인,2,2,1.0
아이소헥사데칸,2,2,1.0
폴리솔베이트80,2,2,1.0
캐롭검,2,2,1.0
무수자일리톨,2,2,1.0
글리세릴아라키도네이트,2,2,1.0
글리세릴리놀리네이트,2,2,1.0
소르빅애씨드,2,2,1.0
복숭아씨추출물,2,2,1.0
질경이추출물,2,2,1.0
트루로즈오브예리코추출물,2,2,1.0
하이드록시프로필메틸셀룰로오스,2,2,1.0
왜당귀뿌리추출물,2,2,1.0
징크글루코네이트,2,2,1.0
에스에이치-폴리펩타이드-19,2,2,1.0
크랜베리추출물,2,2,1.0
밤부사 불가리스수,2,2,1.0
팔미토일펜타펩타이드-5,2,2,1.0
니코티노일다이펩타이드-23,2,2,1.0
벤조익애씨드,2,2,1.0
티트리꽃/잎/줄기추출물,2,2,1.0
금,2,2,1.0
에스에이치-폴리펩타이드-123,2,2,1.0
당호박추출물,2,2,1.0
피마자씨오일,2,2,1.0
다이펜타에리스리틸헥사C5-9애씨드에스터,2,2,1.0
양까막까치밥나무열매추출물,2,2,1.0
풀러린,2,2,1.0
왕귤껍질오일,2,2,1.0
빌베리열매추출물,2,2,1.0
흰서양송로추출물,2,2,1.0
황색4호,2,2,1.0
리씨열매오일,1,1,1.0
밤보늬추출물,1,1,1.0
올레스-3포스페이트,1,1,1.0
꿀풀추출물,1,1,1.0
소듐알엔에이,1,1,1.0
블래더랙추출물,1,1,1.0
바추잎잎추출물,1,1,1.0
초피나무열매오일,1,1,1.0
C12-13파레스-9,1,1,1.0
하이드롤라이즈드스클레로튬검,1,1,1.0
스타이렌/아크릴레이트코폴리머,1,1,1.0
징크클로라이드,1,1,1.0
에르고티오네인,1,1,1.0
판테틴,1,1,1.0
콩폴리펩타이드,1,1,1.0
폴리글리세 릴-10라우레이트,1,1,1.0
아크 릴레이트/C10-30알킬아크릴레이트크로스폴리머,1,1,1.0
하이드록시프로필트라이모늄 하이알루로네이트,1,1,1.0
소듐하이알루로네이트크로스 폴리머,1,1,1.0
오렌지꽃오일,1,1,1.0
세테아릴아이소노나노에이트,1,1,1.0
올레스-3,1,1,1.0
올레스-5,1,1,1.0
동충하초추출물,1,1,1.0
밀리타리스동충하초추출물,1,1,1.0
폴리하이드록시스테아릭애씨드,1,1,1.0
참당귀뿌리추출물,1,1,1.0
각시둥굴레뿌리줄기/뿌리추출물,1,1,1.0
천문동뿌리추출물,1,1,1.0
글리세레스-20,1,1,1.0
시로미열매즙,1,1,1.0
피이지-10레이프씨드스테롤,1,1,1.0
피이지-150,1,1,1.0
데사미도콜라겐,1,1,1.0
윈터체리뿌리추출물,1,1,1.0
펜타에리스리틸테트라-다이-T-부틸하이드록시하이드로신나메이트,1,1,1.0
육두구추출물,1,1,1.0
메틸글루코오스세스퀴스테아레이트,1,1,1.0
목서꽃추출물,1,1,1.0
치자나무꽃추출물,1,1,1.0
코코넛야자오일,1,1,1.0
다이포타슘포스페이트,1,1,1.0
프로콜라겐,1,1,1.0
수국잎추출물,1,1,1.0
육두구커넬오일,1,1,1.0
아이슬란드이끼추출물,1,1,1.0
베르가못잎추출물,1,1,1.0
피톨,1,1,1.0
스트로브잣나무껍질추출물,1,1,1.0
하이드롤라이즈드하이 알루로닉애씨드,1,1,1.0
아이소도데케인,1,1,1.0
옥수수잎추출물,1,1,1.0
세라 마이드엔피,1,1,1.0
불가리스매자열매추출물,1,1,1.0
뽕나무뿌리추출물,1,1,1.0
소듐올레오일하이알루로네이트,1,1,1.0
나이아신아마이드3),1,1,1.0
소듐설페이티드하이알루로네이트,1,1,1.0
트라넥사믹애씨드3),1,1,1.0
하이드롤라이즈드칼슘하이알루로네이트,1,1,1.0
트라이펩타이드-2,1,1,1.0
하이드롤라이즈드루핀단백질,1,1,1.0
실크수,1,1,1.0
덱스판테놀,1,1,1.0
폴록사머407,1,1,1.0
석시닉애씨드2),1,1,1.0
소듐디엔에이1),1,1,1.0
알지닌/라이신폴리펩타이드2),1,1,1.0
하이드롤라이즈드해면2),1,1,1.0
아세틸글루코사만,1,1,1.0
폴리,1,1,1.0
병풀잎수,1,1,1.0
알지닌2),1,1,1.0
소듐팔미토일프롤린,1,1,1.0
팔리토일트라이펩타이드-5,1,1,1.0
스위트아몬드오일,1,1,1.0
크산토필,1,1,1.0
복사나무잎추출물,1,1,1.0
은행나무잎추출물,1,1,1.0
오미자수,1,1,1.0
펩타이드201.1ppm,1,1,1.0
칼슘알지네이트,1,1,1.0
트라이플루오로아세틸트라이펩타이드-2,1,1,1.0
소듐스테아로일하이알루로네이트,1,1,1.0
디스타치포스페이트,1,1,1.0
뽕나무열매추출물,1,1,1.0
정제수 잔탄검,1,1,1.0
콜라나무씨추출물,1,1,1.0
트리펩타이드-32,1,1,1.0
비타민나무추출물,1,1,1.0
프로필갈레이트,1,1,1.0
글리세린 프로판다이올 나이아신아마이드 락틱애씨드 하이드록시에틸피페라진에탄설포닉애씨드 하이드록시아세토페논 소듐하이드록사이드 하이드록시프로필구아 살리실릭애씨드 파이틱애씨드,1,1,1.0
소듐나프탈렌설포네이트,1,1,1.0
세테스-24,1,1,1.0
피이지-75,1,1,1.0
포도덩굴추출물,1,1,1.0
대왕송잎추출물,1,1,1.0
달맞이꽃추출물,1,1,1.0
제인,1,1,1.0
소이아이소플라본,1,1,1.0
피이지/피피지-18/18다이메티콘,1,1,1.0
유제놀,1,1,1.0
니아울리나무잎오일,1,1,1.0
브로콜리추출물,1,1,1.0
아세로라추출물,1,1,1.0
적색산화철 *글루타치온좀 : 식물 유래 이중 지질막 전달체에 글루타치온을 담지하여 만든 복합체 50,1,1,1.0
도금양열매추출물,1,1,1.0
000 ppm 함유,1,1,1.0
살비아오일,1,1,1.0
애플민트잎추출물,1,1,1.0
콘민트잎추출물,1,1,1.0
알바수련꽃추출물,1,1,1.0
석류과피추출물,1,1,1.0
카바카바뿌리추출물,1,1,1.0
바이오사카라이드검-4,1,1,1.0
타임추출물,1,1,1.0
애기부들이삭추출물,1,1,1.0
마카뿌리추출물,1,1,1.0
소듐헥사메타포스페이트 아떼 멜레이저 프로그래밍 앰플 : 에칠아스코빌에텔,1,1,1.0
장미꽃오일,1,1,1.0
장미추출물,1,1,1.0
실리카실릴레이트,1,1,1.0
테트라아세틸피토스핑고신,1,1,1.0
히비스커스꽃추출물,1,1,1.0
레몬추출물,1,1,1.0
오렌지추출물,1,1,1.0
설탕단풍추출물,1,1,1.0
보리지추출물,1,1,1.0
호스테일켈프추출물,1,1,1.0
라벤더꽃수,1,1,1.0
다이소듐아데노신트라이포스페이트,1,1,1.0
수레국화꽃추출물,1,1,1.0
라우다이모늄하이드록시프로필하이드롤라이즈드밀단백질,1,1,1.0
클레리추출물,1,1,1.0
히아신스전초추출물,1,1,1.0
비타민나무열매오일,1,1,1.0
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,1,1,1.0
삼나무잎추출물,1,1,1.0
아보카도오일,1,1,1.0
우유엑소좀,1,1,1.0
연꽃잎추출물,1,1,1.0
병풀즙,1,1,1.0
데하이드로아세틱애씨드,1,1,1.0
소듐살리실레이트,1,1,1.0
수레국화꽃수,1,1,1.0
피이지-5레이프씨드스테롤,1,1,1.0
소듐실리케이트,1,1,1.0
에틸헥실펠라고네이트,1,1,1.0
센티드제라늄추출물,1,1,1.0
치자꽃추출물,1,1,1.0
마카다미아씨오일폴리글리세릴-6에스터스베헤네이트,1,1,1.0
코토니추출물,1,1,1.0
소듐폴리아크릴레이트스타치,1,1,1.0
오렌지수,1,1,1.0
스테아릴헵타노에이트,1,1,1.0
레몬수,1,1,1.0
레불리닉애씨드,1,1,1.0
카프릴하이드록사믹애씨드,1,1,1.0
세테스-3,1,1,1.0
세테스-5,1,1,1.0
알루미늄/마그네슘하이드록사이드스테아레이트,1,1,1.0
리날룰 *표시: Napiers original formula / +표시: Napiers moisture formula / **표시: 식물 유래 향,1,1,1.0
카놀라오일,1,1,1.0
맥아추출물,1,1,1.0
들깨잎추출물,1,1,1.0
줄맨드라미씨추출물,1,1,1.0
소듐레불리네이트,1,1,1.0
소듐구아이아줄렌설포네이트,1,1,1.0
카프릴릭/카프릭/석시닉트라이글리세라이드,1,1,1.0
꽃송이버섯추출물,1,1,1.0
발삼코파이바수지,1,1,1.0
아떼 멜레이저 퓨어 비타민 씨 볼 : 소듐하이알루로네이트,1,1,1.0
로즈힙열매오일,1,1,1.0
빌베리씨오일,1,1,1.0
마룰라씨오일,1,1,1.0
살비아수,1,1,1.0
홍차추출물,1,1,1.0
아프리카스파이더플라워잎추출물,1,1,1.0
덱스트린팔미테이트,1,1,1.0
칼슘실리케이트,1,1,1.0
라케모사승마뿌리추출물,1,1,1.0
맨드라미꽃추출물,1,1,1.0
헥실신남알,1,1,1.0
쿠푸아수씨버터,1,1,1.0
스테아릴알코올,1,1,1.0
피이지-5글리세릴스테아레이트,1,1,1.0
하이드록시시트로넬알,1,1,1.0
피리독신에이치씨엘,1,1,1.0
적색504호,1,1,1.0
테트라소듐이디티에이,1,1,1.0
프렌치로즈꽃추출물,1,1,1.0
멜레이저 퓨어 비타민 씨 볼 : 소듐하이알루로네이트,1,1,1.0
씨대퍼딜추출물,1,1,1.0
푸마릭애씨드,1,1,1.0
타라열매추출물,1,1,1.0
연꽃캘러스배양추출물,1,1,1.0
시스틴,1,1,1.0
히스티딘에이치씨엘,1,1,1.0
복령균핵추출물,1,1,1.0
하이드롤라이즈드콩단백질,1,1,1.0
올리고펩타이드-4,1,1,1.0
비오틴/폴릭애씨드/시아노코바라민/니아신아마이드/판토테닉애씨드/피리독신/리보플라빈/티아민/효모폴리펩테이드,1,1,1.0
포타슘아스파테이트,1,1,1.0
방풍뿌리추출물,1,1,1.0
요엽후박나무껍질추출물,1,1,1.0
트라이에탄올아민,1,1,1.0
소듐글루타메이트,1,1,1.0
C9-12알케인,1,1,1.0
바위돌꽃뿌리추출물,1,1,1.0
당근씨오일,1,1,1.0
연꽃잎세포배양가루,1,1,1.0
폴리글리세릴-6올리에이트,1,1,1.0
아르니카 몬타나꽃추출물,1,1,1.0
피이지-10피토스테롤,1,1,1.0
디메치콘,1,1,1.0
아크릴레이트코폴리머,1,1,1.0
디소듐이디티에이,1,1,1.0
흰무늬엉겅퀴추출물,1,1,1.0
오레가노추출물,1,1,1.0
암모늄폴리아크릴로일디메칠타우레이트,1,1,1.0
C12-14Sec-알케스-12,1,1,1.0
동아씨추출물,1,1,1.0
글리세릴이소스테아레이트,1,1,1.0
피피지-6-데실테트라데세스-30,1,1,1.0
무환자추출물,1,1,1.0
비누풀잎추출물,1,1,1.0
천궁뿌리추출물,1,1,1.0
글루타밀아미도에틸인돌,1,1,1.0
소듐헥사메타포스페이트 멜레이저 프로그래밍 앰플 : 비타민나무수,1,1,1.0
다이소듐코코암포다이아세테이트,1,1,1.0
눈빛승마추출물,1,1,1.0
라우릴하이드록시설테인,1,1,1.0
폴리쿼터늄-22,1,1,1.0
소듐하이알루로네이트2),1,1,1.0
피이지-6카프릴릭/카프릭글리세라이드,1,1,1.0
락토바실러스세포외소포,1,1,1.0
당호박씨오일,1,1,1.0
코카미도프로필베타인,1,1,1.0
피피지-3카프릴릴에터,1,1,1.0
글라이콜스테아레이트,1,1,1.0
채찍산호추출물,1,1,1.0
회화나무꽃추출물,1,1,1.0
피이지-40스테아레이트,1,1,1.0
헥실데실에틸헥사노에이트,1,1,1.0
사이아노코발아민3),1,1,1.0
하이 드롤라이즈드콜라겐,1,1,1.0
옐로우체이스트위드추출물,1,1,1.0
알루미늄하이드록사이드,1,1,1.0
프룩토올리고 사카라이드,1,1,1.0
흰목이버섯폴리사카라이드,1,1,1.0
장미꽃,1,1,1.0
서양산딸기추출물,1,1,1.0
아사이팜열매추출물,1,1,1.0
제라니올※,1,1,1.0
리날룰※,1,1,1.0
마조람잎오일,1,1,1.0
네오펜틸글라이콜다이카프레이트,1,1,1.0
소듐코코일이세티오네이트,1,1,1.0
가르시니아열매추출물,1,1,1.0
아이소부틸아미도티아졸릴레조시놀,1,1,1.0
청색1호,1,1,1.0
글리세린 부틸렌글라이콜 펜틸렌글라이콜 아이소프로필미리스테이트 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 소듐하이드록사이드 만노오스 메틸다이하이드로자스모네이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 페녹시에탄올 하이드로제네이티드레시틴 알파-글루칸올리고사카라이드 카프릴릴글라이콜 폴리솔베이트20 마데카소사이드 스핑고모나스발효추출물 시트릭애씨드 야콘뿌리즙 소듐메틸스테아로일타우레이트 아세틸다이펩타이드-1세틸에스터 소듐벤조에이트 말토덱스트린 징크글루코네이트 망가니즈글루코네이트 소듐하이알루로네이트 엑토인 단삼뿌리추출물 살리실로일피토스핑고신 락토바실러스 트라이소듐에틸렌다이아민다이석시네이트 비사보롤 정제수,1,1,1.0
세틸피이지/피피지-10/1다이메티콘,1,1,1.0
야콘뿌리즙,1,1,1.0
망가니즈글루코네이트,1,1,1.0
다이포타슘 글리시리제이트,1,1,1.0
아크릴레 이트/C10-30알킬아크릴레이트크로스폴리머,1,1,1.0
하이드로제네이티드올리브오일불검화물,1,1,1.0
스피드웰꽃/잎/줄기추출물,1,1,1.0
엘더꽃추출물,1,1,1.0
월귤잎추출물,1,1,1.0
에델바이스꽃/잎추출물,1,1,1.0
당아욱꽃/잎/줄기추출물,1,1,1.0
레이디스맨틀꽃/잎/줄기추출물,1,1,1.0
페루기네움철쭉추출물,1,1,1.0
서양톱풀꽃/잎/줄기추출물,1,1,1.0
카우슬립꽃추출물,1,1,1.0
다이페닐다이 메티콘,1,1,1.0
화산재,1,1,1.0
펜타펩타이드-3,1,1,1.0
아세틸피토스핑고신,1,1,1.0
4-t-부틸사이클로헥산올,1,1,1.0
카프 릴릭/카프릭트라이글리세라이드,1,1,1.0
폴리글리세릴-3다이스 테아레이트,1,1,1.0
글리세 릴글루코사이드,1,1,1.0
알파-글루칸올리고사카라이드,1,1,1.0
카프릴로일글라이신,1,1,1.0
예덕나무피추출물,1,1,1.0
비트레오스실라발효물,1,1,1.0
드로메트리졸트리실록산,1,1,1.0
디에칠아미노하이드록시벤조일헥실벤조에이트,1,1,1.0
버지니아풍년화잎수,1,1,1.0
포타슘솔베이트 증정: 알로에베라잎수,1,1,1.0
히솝추출물,1,1,1.0
아마씨추출물,1,1,1.0
시트릭애씨드 * 피디알엔: 소듐디엔에이,1,1,1.0
돌콩싹추출물,1,1,1.0
소듐폴리글루타메이트,1,1,1.0
식물성오일,1,1,1.0
팔미타마이드엠이에이,1,1,1.0
아세타마이드엠이에이,1,1,1.0
알로에베라잎폴리사카라이드,1,1,1.0
서양벌노랑이씨추출물,1,1,1.0
옥탄다이올,1,1,1.0
트라이에틸시트레이트,1,1,1.0
마테잎추출물,1,1,1.0
다이에틸헥실석시네이트,1,1,1.0
베타-카로틴 증정 : 알로에베라잎수,1,1,1.0
토코트라이엔올,1,1,1.0
세틸에 틸헥사노에이트,1,1,1.0
아세틸레이티드글라이콜스테아레이트,1,1,1.0
폴리글리세릴-4아이소스테아레이트,1,1,1.0
하이드로제네이티드쌀겨오일,1,1,1.0
코코넛워터,1,1,1.0
매스틱검,1,1,1.0
오르니틴,1,1,1.0
카프릴릭/카프릭트라이글 리세라이드,1,1,1.0
나이아신아마이 드,1,1,1.0
세 라마이드엔피,1,1,1.0
C12-16알코올,1,1,1.0
소듐아크릴레이트/소듐아크릴 로일다이메틸타우레이트코폴리머,1,1,1.0
카프 릴릴글라이콜,1,1,1.0
솔비탄올 리에이트,1,1,1.0
아 크릴레이트/C10-30알킬아크릴레이트크로스폴리머,1,1,1.0
프로폴리스추출 물,1,1,1.0
마데카식애 씨드,1,1,1.0
노티드랙추출물,1,1,1.0
소듐아세테이트,1,1,1.0
카프로익애씨드,1,1,1.0
팔미토일다이펩타이드-7,1,1,1.0
폴리에터-1,1,1,1.0
비스-하이드록시에톡시프로필다이메티콘,1,1,1.0
데카펩타이드-4,1,1,1.0
벼에스에이치-올리고펩타이드-1 * 레티놀 함량 509 IU/g,1,1,1.0
칼슘알루미늄보로실리케이트,1,1,1.0
소듐설파이트,1,1,1.0
전성분 실크수,1,1,1.0
아쿠아,1,1,1.0
아이소세틸스테아로일스테아레이트,1,1,1.0
소르비탄올리베이트,1,1,1.0
트레할로스,1,1,1.0
피이지-7트라이메틸올프로판코코넛에터,1,1,1.0
후추열매오일,1,1,1.0
생강오일,1,1,1.0
육계잎오일,1,1,1.0
병풀꽃/잎/줄기추출물,1,1,1.0
동백나무꽃추출물,1,1,1.0
트라이실록세인,1,1,1.0
부틸옥틸살리실레이트,1,1,1.0
옥토크릴렌,1,1,1.0
메틸글루세스-10,1,1,1.0
다이페닐실록시페닐트라이메티콘,1,1,1.0
피씨에이다이메티콘,1,1,1.0
녹차카테킨,1,1,1.0
트라이에톡시카프릴릴실레인,1,1,1.0
미네랄솔트,1,1,1.0
이리추출물,1,1,1.0
연어알추출물,1,1,1.0
갈랑가갈랑갈추출물,1,1,1.0
비스-에칠헥실옥시페놀메톡시페닐트리아진,1,1,1.0
돌콩추출물,1,1,1.0
테트라하이드로피페린,1,1,1.0
올레일알코올,1,1,1.0
소듐아세틸레이티드하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드,1,1,1.0
스트렙토코쿠스 테르모필루스발효물,1,1,1.0
비즈왁스,1,1,1.0
폴리글리세릴-3폴리리시놀리에이트,1,1,1.0
잣나무씨추출물,1,1,1.0
폴리그릴세릴-10스테아레이트,1,1,1.0
스핑고리피드,1,1,1.0
트라이소듐포스페이트,1,1,1.0
락토바실러스/호박열매발효여과물,1,1,1.0
쿠티박테리움 그라눌로숨발효추출여과물,1,1,1.0
꽈리꽃받침추출물,1,1,1.0
흑효모발효물,1,1,1.0
아데 노신,1,1,1.0
인디고추출물,1,1,1.0
하이드롤라이즈 드하이알루로닉애씨드,1,1,1.0
물망초꽃/잎 /줄기추출물,1,1,1.0
바질오일,1,1,1.0
타마린드씨검,1,1,1.0
아이소세테스-20,1,1,1.0
클로렐라 프로토테코이데스추출물,1,1,1.0
쓴풀추출물,1,1,1.0
푸른연꽃추출물,1,1,1.0
징크하이드롤라이즈드하이알루로네이트,1,1,1.0
글루코닉애씨드,1,1,1.0
로얄젤리추출물,1,1,1.0
후박나무가지추출물,1,1,1.0
아연,1,1,1.0
레몬그라스잎오일,1,1,1.0
탄제린추출물,1,1,1.0
스키산드라 스페난테라열매추출물,1,1,1.0
피이지-90,1,1,1.0
알테로모나스발효추출물,1,1,1.0
실크추출물,1,1,1.0
염소유추출물,1,1,1.0
트로폴론,1,1,1.0
솔잣나무가지/잎오일,1,1,1.0
고수추출물,1,1,1.0
다시마즙,1,1,1.0
시메티콘,1,1,1.0
조류추출물,1,1,1.0
참오동나무잎추출물,1,1,1.0
생달나무잎추출물,1,1,1.0
녹나무잎추출물,1,1,1.0
월계수잎추출물,1,1,1.0
소두구씨오일,1,1,1.0
시트로넬라오일,1,1,1.0
갈바눔수지오일,1,1,1.0
니코티노일다이펩타이드-26,1,1,1.0
세라마이드엔지,1,1,1.0
효모폴리펩타이드,1,1,1.0
락토바실러스/배즙발효여과물,1,1,1.0
수박추출물,1,1,1.0
무추출물,1,1,1.0
락토바실러스/인삼뿌리발효여과물,1,1,1.0
락토바실러스/부레옥잠발효물,1,1,1.0
모나스커스/쌀발효물,1,1,1.0
효모/포도발효추출물,1,1,1.0
단풍나무잎추출물,1,1,1.0
개다래추출물,1,1,1.0
으름덩굴추출물,1,1,1.0
마늘추출물,1,1,1.0
양배추추출물,1,1,1.0
순무잎추출물,1,1,1.0
동백나무잎추출물,1,1,1.0
결명씨추출물,1,1,1.0
아이소스테아릭애씨드,1,1,1.0
타히티바닐라추출물,1,1,1.0
메도우스위트추출물,1,1,1.0
올리고펩타이드-32,1,1,1.0
펜타펩타이드-13,1,1,1.0
팔미토일테트라펩타이드-10,1,1,1.0
팔미토일트라이펩타이드-29,1,1,1.0
테트라펩타이드-44,1,1,1.0
테트라펩타이드-30,1,1,1.0
트라이펩타이드-29,1,1,1.0
올리고펩타이드-29,1,1,1.0
미역취추출물,1,1,1.0
하이알루로닉애씨드/폴리아이소프로필아크릴아마이드코폴리머,1,1,1.0
개똥쑥추출물,1,1,1.0
님잎추출물,1,1,1.0
가시대나무수액,1,1,1.0
자작나무수액,1,1,1.0
소듐만노오스포스페이트,1,1,1.0
카퍼설페이트,1,1,1.0
산구절초추출물,1,1,1.0
모과추출물,1,1,1.0
치커리뿌리추출물,1,1,1.0
유자추출물,1,1,1.0
글리세릴베헤네이트,1,1,1.0
시금치추출물,1,1,1.0
락토바실러스/호밀가루발효물,1,1,1.0
락토바실러스/고추냉이뿌리발효추출물,1,1,1.0
메틸메타크릴레이트크로스폴리머,1,1,1.0
포도주추출물,1,1,1.0
C13-15알케인,1,1,1.0
피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,1,1,1.0
미리스틸미리스테이트,1,1,1.0
형개추출물,1,1,1.0
C30-45알킬다이메티콘,1,1,1.0
